date;republican party;Online dating;Stagecraft;Sport England;air travel;isPartial
2022-01-02;4;14;0;15;34;False
2022-01-09;2;11;1;23;37;False
2022-01-16;2;10;0;22;29;False
2022-01-23;2;9;0;21;32;False
2022-01-30;2;11;1;33;36;False
2022-02-06;2;11;0;19;37;False
2022-02-13;1;12;0;17;37;False
2022-02-20;3;10;1;26;37;False
2022-02-27;2;10;2;19;33;False
2022-03-06;3;9;0;36;35;False
2022-03-13;3;9;0;31;34;False
2022-03-20;2;10;1;41;33;False
2022-03-27;2;10;0;27;35;False
2022-04-03;2;10;1;14;32;False
2022-04-10;2;11;0;12;28;False
2022-04-17;2;10;0;12;31;False
2022-04-24;1;10;1;14;32;False
2022-05-01;3;10;0;15;33;False
2022-05-08;1;12;1;13;34;False
2022-05-15;5;12;0;16;35;False
2022-05-22;4;10;1;15;34;False
2022-05-29;2;11;1;34;34;False
2022-06-05;2;9;0;40;38;False
2022-06-12;3;13;1;45;33;False
2022-06-19;4;10;0;30;31;False
2022-06-26;3;8;1;36;33;False
2022-07-03;2;10;1;32;35;False
2022-07-10;2;12;0;33;36;False
2022-07-17;2;11;0;25;35;False
2022-07-24;2;11;0;30;34;False
2022-07-31;2;12;0;43;31;False
2022-08-07;3;10;0;15;30;False
2022-08-14;2;12;0;15;29;False
2022-08-21;2;12;0;16;26;False
2022-08-28;2;15;0;13;28;False
2022-09-04;3;11;1;24;30;False
2022-09-11;4;12;1;24;26;False
2022-09-18;2;10;1;29;25;False
2022-09-25;1;11;0;32;26;False
2022-10-02;1;9;0;26;25;False
2022-10-09;2;9;0;25;24;False
2022-10-16;2;10;0;22;22;False
2022-10-23;2;10;0;18;20;False
2022-10-30;4;8;1;29;20;False
2022-11-06;23;10;1;50;23;False
2022-11-13;7;9;1;41;19;False
2022-11-20;3;8;1;100;24;False
2022-11-27;2;9;0;54;23;False
2022-12-04;2;9;1;82;20;False
2022-12-11;2;8;0;23;20;False
2022-12-18;3;11;0;16;19;False
2022-12-25;2;12;0;8;25;False
2023-01-01;6;13;1;12;29;False
2023-01-08;1;8;1;16;27;False
2023-01-15;2;9;1;15;27;False
2023-01-22;2;10;0;17;24;False
2023-01-29;2;13;0;23;26;False
