date;Exhibitions;Environmental sustainability;GoldenEye;vivienne westwood;air travel;isPartial
2023-01-01;12;2;4;100;6;False
2023-01-02;13;1;3;74;8;False
2023-01-03;11;1;2;55;5;False
2023-01-04;11;1;5;42;8;False
2023-01-05;13;1;2;38;6;False
2023-01-06;12;0;2;37;6;False
2023-01-07;14;0;3;43;5;False
2023-01-08;14;1;3;44;7;False
2023-01-09;12;1;2;36;4;False
2023-01-10;14;1;1;36;7;False
2023-01-11;13;1;2;33;8;False
2023-01-12;12;1;2;51;6;False
2023-01-13;14;1;4;45;5;False
2023-01-14;14;1;4;46;5;False
2023-01-15;15;1;3;46;6;False
2023-01-16;13;0;3;30;6;False
2023-01-17;12;1;2;27;5;False
2023-01-18;12;3;3;24;7;False
2023-01-19;10;2;2;25;6;False
2023-01-20;9;0;3;31;5;False
2023-01-21;12;0;1;32;5;False
2023-01-22;14;1;3;53;6;False
2023-01-23;14;2;2;44;6;False
2023-01-24;11;1;3;30;5;False
2023-01-25;15;1;20;30;6;False
2023-01-26;11;1;30;24;6;False
2023-01-27;11;1;80;21;4;False
2023-01-28;13;0;63;28;6;False
2023-01-29;11;0;44;30;5;False
2023-01-30;12;1;25;24;8;False
2023-01-31;11;1;18;29;7;False
