date;Gay and lesbian travel;Global recession;Norfolk;Aberdeen;air travel;isPartial
2022-01-02;0;0;41;66;3;False
2022-01-09;0;0;45;66;3;False
2022-01-16;0;0;43;74;2;False
2022-01-23;0;0;39;68;3;False
2022-01-30;0;0;43;76;3;False
2022-02-06;0;0;39;86;3;False
2022-02-13;0;0;40;81;3;False
2022-02-20;0;0;44;77;3;False
2022-02-27;0;0;39;76;3;False
2022-03-06;0;0;39;81;3;False
2022-03-13;0;0;41;68;3;False
2022-03-20;0;0;43;74;3;False
2022-03-27;0;0;37;66;3;False
2022-04-03;0;0;43;67;3;False
2022-04-10;0;0;46;66;2;False
2022-04-17;0;0;40;75;3;False
2022-04-24;0;0;44;70;3;False
2022-05-01;0;0;51;77;3;False
2022-05-08;0;0;45;65;3;False
2022-05-15;0;0;45;68;3;False
2022-05-22;0;0;42;73;3;False
2022-05-29;0;0;49;70;3;False
2022-06-05;0;0;46;70;3;False
2022-06-12;0;0;47;71;3;False
2022-06-19;0;0;52;72;3;False
2022-06-26;0;0;52;71;3;False
2022-07-03;0;0;45;73;3;False
2022-07-10;0;0;53;82;3;False
2022-07-17;0;0;56;76;3;False
2022-07-24;0;0;57;78;3;False
2022-07-31;0;0;51;85;3;False
2022-08-07;0;0;59;79;3;False
2022-08-14;0;0;49;72;3;False
2022-08-21;0;0;50;75;2;False
2022-08-28;0;0;48;78;2;False
2022-09-04;0;0;44;98;3;False
2022-09-11;0;0;45;85;2;False
2022-09-18;0;0;43;79;2;False
2022-09-25;0;0;43;78;2;False
2022-10-02;0;0;41;73;2;False
2022-10-09;0;0;37;70;2;False
2022-10-16;0;0;37;74;2;False
2022-10-23;0;0;36;73;2;False
2022-10-30;0;0;34;76;2;False
2022-11-06;0;0;34;78;2;False
2022-11-13;0;0;33;67;2;False
2022-11-20;0;0;30;56;2;False
2022-11-27;0;0;31;63;2;False
2022-12-04;0;0;27;64;2;False
2022-12-11;0;0;29;91;2;False
2022-12-18;0;0;27;78;2;False
2022-12-25;0;0;33;65;2;False
2023-01-01;0;0;38;71;2;False
2023-01-08;0;0;39;74;2;False
2023-01-15;0;0;39;100;2;False
2023-01-22;0;0;38;99;2;False
2023-01-29;0;0;38;85;2;False
