date;Kaká;Steven Moffat;Erasure;Justin Trudeau;air travel;isPartial
2022-01-02;0;2;24;13;66;False
2022-01-09;1;2;24;11;73;False
2022-01-16;0;2;21;5;57;False
2022-01-23;0;3;23;17;62;False
2022-01-30;0;3;38;49;71;False
2022-02-06;0;2;23;38;71;False
2022-02-13;0;3;20;65;71;False
2022-02-20;1;2;30;52;73;False
2022-02-27;0;1;22;17;64;False
2022-03-06;0;2;18;50;67;False
2022-03-13;1;2;20;12;66;False
2022-03-20;0;1;23;13;65;False
2022-03-27;0;2;23;6;69;False
2022-04-03;1;2;17;8;63;False
2022-04-10;1;2;25;9;54;False
2022-04-17;0;2;22;5;61;False
2022-04-24;0;2;21;7;62;False
2022-05-01;0;3;23;6;64;False
2022-05-08;0;5;20;10;66;False
2022-05-15;1;3;20;8;69;False
2022-05-22;0;5;23;6;65;False
2022-05-29;0;4;19;11;66;False
2022-06-05;1;4;26;6;74;False
2022-06-12;1;4;22;10;65;False
2022-06-19;0;3;20;15;60;False
2022-06-26;0;1;22;16;65;False
2022-07-03;0;2;18;8;68;False
2022-07-10;1;3;19;9;71;False
2022-07-17;1;3;20;13;67;False
2022-07-24;0;3;18;7;67;False
2022-07-31;0;5;18;7;60;False
2022-08-07;0;2;31;11;58;False
2022-08-14;0;3;22;6;57;False
2022-08-21;0;6;24;9;50;False
2022-08-28;0;2;21;3;55;False
2022-09-04;1;0;14;58;59;False
2022-09-11;0;2;20;26;51;False
2022-09-18;0;6;22;100;49;False
2022-09-25;0;38;16;11;51;False
2022-10-02;1;35;22;7;48;False
2022-10-09;0;16;18;6;46;False
2022-10-16;0;9;16;5;42;False
2022-10-23;1;17;19;9;39;False
2022-10-30;0;9;19;9;39;False
2022-11-06;0;6;20;6;44;False
2022-11-13;0;4;18;19;37;False
2022-11-20;0;5;18;14;46;False
2022-11-27;1;1;66;12;45;False
2022-12-04;0;3;39;11;38;False
2022-12-11;0;3;26;10;39;False
2022-12-18;0;2;21;12;37;False
2022-12-25;0;3;28;5;48;False
2023-01-01;0;6;22;7;57;False
2023-01-08;0;2;16;7;52;False
2023-01-15;2;4;20;8;51;False
2023-01-22;0;10;20;9;47;False
2023-01-29;0;5;15;7;51;False
