date;Drama films;Alcohol;Lenovo;interest rates;air travel;isPartial
2022-01-02;0;81;20;9;4;False
2022-01-09;0;72;18;8;4;False
2022-01-16;0;71;17;10;3;False
2022-01-23;0;67;19;11;3;False
2022-01-30;0;74;18;19;4;False
2022-02-06;0;69;18;11;4;False
2022-02-13;0;66;18;9;4;False
2022-02-20;0;65;19;9;4;False
2022-02-27;0;64;19;10;3;False
2022-03-06;0;72;19;11;4;False
2022-03-13;0;74;18;18;4;False
2022-03-20;0;70;18;12;4;False
2022-03-27;0;68;19;11;4;False
2022-04-03;0;70;17;12;3;False
2022-04-10;0;70;16;15;3;False
2022-04-17;0;71;15;11;3;False
2022-04-24;0;66;15;12;3;False
2022-05-01;0;78;17;32;4;False
2022-05-08;0;75;16;14;4;False
2022-05-15;0;72;16;14;4;False
2022-05-22;0;71;15;13;4;False
2022-05-29;0;73;15;10;4;False
2022-06-05;0;75;16;13;4;False
2022-06-12;0;79;15;29;4;False
2022-06-19;0;77;16;15;3;False
2022-06-26;0;73;17;13;4;False
2022-07-03;0;72;15;12;4;False
2022-07-10;0;83;17;12;4;False
2022-07-17;0;72;17;15;4;False
2022-07-24;0;71;17;16;4;False
2022-07-31;0;72;16;41;3;False
2022-08-07;0;79;15;17;3;False
2022-08-14;0;69;15;16;3;False
2022-08-21;0;72;16;17;3;False
2022-08-28;0;67;17;15;3;False
2022-09-04;0;56;19;16;3;False
2022-09-11;0;68;18;15;3;False
2022-09-18;0;69;17;41;3;False
2022-09-25;0;64;18;55;3;False
2022-10-02;0;69;18;46;3;False
2022-10-09;0;68;18;35;3;False
2022-10-16;0;68;17;34;2;False
2022-10-23;0;74;18;28;2;False
2022-10-30;0;67;17;57;2;False
2022-11-06;0;71;19;31;2;False
2022-11-13;0;70;22;29;2;False
2022-11-20;0;73;27;16;3;False
2022-11-27;0;68;20;18;2;False
2022-12-04;0;70;16;15;2;False
2022-12-11;0;77;16;28;2;False
2022-12-18;0;100;17;15;2;False
2022-12-25;0;99;20;14;3;False
2023-01-01;0;83;17;21;3;False
2023-01-08;0;71;17;19;3;False
2023-01-15;0;72;17;19;3;False
2023-01-22;1;68;17;22;3;False
2023-01-29;0;74;18;40;3;False
