date;County Durham;1899 Hoffenheim;Colm Tóibín;Sam Riley;air travel;isPartial
2023-01-01;49;0;0;0;39;False
2023-01-02;78;8;0;0;46;False
2023-01-03;100;0;0;5;30;False
2023-01-04;75;0;0;0;45;False
2023-01-05;86;0;0;3;37;False
2023-01-06;53;0;0;6;37;False
2023-01-07;46;5;6;3;27;False
2023-01-08;54;0;0;0;43;False
2023-01-09;51;0;0;3;25;False
2023-01-10;70;0;0;4;40;False
2023-01-11;70;0;5;0;46;False
2023-01-12;63;0;0;3;38;False
2023-01-13;64;0;0;0;31;False
2023-01-14;51;0;0;7;29;False
2023-01-15;52;7;0;3;34;False
2023-01-16;69;0;0;0;35;False
2023-01-17;67;0;0;0;28;False
2023-01-18;53;0;0;0;41;False
2023-01-19;72;0;3;0;37;False
2023-01-20;59;0;0;3;30;False
2023-01-21;61;0;0;5;32;False
2023-01-22;44;0;0;3;36;False
2023-01-23;74;0;4;4;37;False
2023-01-24;63;0;0;3;28;False
2023-01-25;55;3;0;0;38;False
2023-01-26;83;0;0;0;35;False
2023-01-27;55;0;7;0;24;False
2023-01-28;55;4;0;3;34;False
2023-01-29;51;0;0;4;31;False
2023-01-30;59;0;0;0;51;False
2023-01-31;72;0;0;7;43;False
