date;Minnesota Vikings;football;Freedom of speech;Kazakhstan;air travel;isPartial
2023-01-01;0;74;0;0;0;False
2023-01-02;0;72;0;0;0;False
2023-01-03;0;60;0;0;0;False
2023-01-04;0;57;0;0;0;False
2023-01-05;0;46;0;0;0;False
2023-01-06;0;48;0;0;0;False
2023-01-07;0;85;0;0;0;False
2023-01-08;0;72;0;0;0;False
2023-01-09;0;40;0;0;0;False
2023-01-10;0;52;0;0;0;False
2023-01-11;0;47;0;0;0;False
2023-01-12;0;44;0;0;0;False
2023-01-13;0;40;0;0;0;False
2023-01-14;0;96;0;0;0;False
2023-01-15;0;79;0;0;0;False
2023-01-16;0;33;0;0;0;False
2023-01-17;0;48;0;0;0;False
2023-01-18;0;53;0;0;0;False
2023-01-19;0;50;0;0;0;False
2023-01-20;0;42;0;0;0;False
2023-01-21;0;100;0;0;0;False
2023-01-22;0;84;0;0;0;False
2023-01-23;0;47;0;0;0;False
2023-01-24;0;51;0;0;0;False
2023-01-25;0;47;0;0;0;False
2023-01-26;0;34;0;0;0;False
2023-01-27;0;43;0;0;0;False
2023-01-28;0;91;0;0;0;False
2023-01-29;0;68;0;0;0;False
2023-01-30;0;43;0;0;0;False
2023-01-31;0;56;0;0;0;False
