date;united arab emirates;mars;Alibaba;taliban;air travel;isPartial
2022-01-02;3;77;29;6;14;False
2022-01-09;3;79;26;6;15;False
2022-01-16;4;74;21;7;12;False
2022-01-23;3;85;23;7;13;False
2022-01-30;3;74;26;7;14;False
2022-02-06;3;85;26;7;15;False
2022-02-13;3;74;24;5;15;False
2022-02-20;3;73;26;19;15;False
2022-02-27;3;68;21;15;13;False
2022-03-06;3;73;26;7;14;False
2022-03-13;4;70;31;6;14;False
2022-03-20;3;79;26;6;13;False
2022-03-27;3;80;23;5;14;False
2022-04-03;3;83;21;5;13;False
2022-04-10;2;65;21;3;11;False
2022-04-17;4;69;23;4;12;False
2022-04-24;2;92;23;5;13;False
2022-05-01;3;71;26;7;13;False
2022-05-08;3;91;25;8;14;False
2022-05-15;3;90;21;5;14;False
2022-05-22;2;67;21;12;13;False
2022-05-29;3;67;23;4;14;False
2022-06-05;4;67;23;4;15;False
2022-06-12;3;74;23;4;13;False
2022-06-19;3;77;22;9;12;False
2022-06-26;2;68;23;6;13;False
2022-07-03;2;71;21;4;14;False
2022-07-10;3;72;21;5;14;False
2022-07-17;2;68;20;3;14;False
2022-07-24;3;85;23;4;14;False
2022-07-31;3;65;24;7;12;False
2022-08-07;3;71;24;5;12;False
2022-08-14;3;65;22;9;12;False
2022-08-21;3;65;21;5;10;False
2022-08-28;3;77;22;4;11;False
2022-09-04;2;61;22;4;12;False
2022-09-11;3;71;21;5;11;False
2022-09-18;3;67;23;6;10;False
2022-09-25;2;72;22;4;10;False
2022-10-02;2;69;21;5;10;False
2022-10-09;3;67;22;5;9;False
2022-10-16;2;72;21;4;9;False
2022-10-23;3;73;23;5;8;False
2022-10-30;2;78;22;4;8;False
2022-11-06;3;70;24;5;9;False
2022-11-13;4;69;29;5;8;False
2022-11-20;6;63;21;5;9;False
2022-11-27;3;69;22;5;9;False
2022-12-04;2;92;20;6;8;False
2022-12-11;3;67;21;4;8;False
2022-12-18;2;68;19;11;8;False
2022-12-25;3;65;24;8;10;False
2023-01-01;3;63;29;21;12;False
2023-01-08;3;75;27;21;11;False
2023-01-15;3;100;24;9;10;False
2023-01-22;3;99;25;5;10;False
2023-01-29;3;82;25;6;10;False
