date;Sport;Bashar al-Assad;Six Nations 2022;Exams;air travel;isPartial
2022-01-02;74;0;1;2;1;False
2022-01-09;76;0;2;2;1;False
2022-01-16;81;0;2;2;0;False
2022-01-23;68;0;3;2;1;False
2022-01-30;82;0;11;2;1;False
2022-02-06;79;0;8;2;1;False
2022-02-13;74;0;4;1;1;False
2022-02-20;73;0;6;1;1;False
2022-02-27;68;0;3;2;1;False
2022-03-06;85;0;6;2;1;False
2022-03-13;87;0;7;2;1;False
2022-03-20;72;0;2;2;1;False
2022-03-27;60;0;0;2;1;False
2022-04-03;77;0;0;1;1;False
2022-04-10;79;0;0;1;0;False
2022-04-17;88;0;0;2;1;False
2022-04-24;84;0;0;2;1;False
2022-05-01;97;0;0;2;1;False
2022-05-08;81;0;0;3;1;False
2022-05-15;88;0;0;3;1;False
2022-05-22;69;0;0;2;1;False
2022-05-29;64;0;0;2;1;False
2022-06-05;65;0;0;3;1;False
2022-06-12;64;0;0;2;1;False
2022-06-19;57;0;0;2;1;False
2022-06-26;64;0;0;1;1;False
2022-07-03;74;0;0;1;1;False
2022-07-10;70;0;0;1;1;False
2022-07-17;60;0;0;1;1;False
2022-07-24;64;0;0;1;1;False
2022-07-31;77;0;0;1;1;False
2022-08-07;75;0;0;1;1;False
2022-08-14;74;0;0;1;0;False
2022-08-21;79;0;0;2;0;False
2022-08-28;95;0;0;1;0;False
2022-09-04;84;0;0;1;1;False
2022-09-11;75;0;0;2;0;False
2022-09-18;59;0;0;1;0;False
2022-09-25;67;0;0;1;0;False
2022-10-02;73;0;0;2;0;False
2022-10-09;78;0;0;1;0;False
2022-10-16;81;0;0;1;0;False
2022-10-23;82;0;0;1;0;False
2022-10-30;76;0;0;1;0;False
2022-11-06;85;0;0;2;0;False
2022-11-13;62;0;0;2;0;False
2022-11-20;100;0;0;1;0;False
2022-11-27;98;0;0;2;0;False
2022-12-04;82;0;0;2;0;False
2022-12-11;57;0;0;1;0;False
2022-12-18;58;0;0;1;0;False
2022-12-25;77;0;0;1;0;False
2023-01-01;82;0;0;2;0;False
2023-01-08;79;0;0;2;0;False
2023-01-15;79;0;0;2;0;False
2023-01-22;78;0;0;2;0;False
2023-01-29;81;0;0;2;0;False
