date;Fifa;Middlesbrough;Democrats;Green jobs;air travel;isPartial
2022-01-02;24;8;0;0;1;False
2022-01-09;24;9;0;0;1;False
2022-01-16;23;7;0;0;1;False
2022-01-23;23;9;0;0;1;False
2022-01-30;26;21;0;0;1;False
2022-02-06;22;10;0;0;1;False
2022-02-13;18;8;0;0;1;False
2022-02-20;21;9;0;0;1;False
2022-02-27;17;15;0;0;1;False
2022-03-06;16;9;0;0;1;False
2022-03-13;17;12;0;0;1;False
2022-03-20;17;7;0;0;1;False
2022-03-27;18;7;0;0;1;False
2022-04-03;16;8;0;0;1;False
2022-04-10;16;7;0;0;1;False
2022-04-17;18;8;0;0;1;False
2022-04-24;16;9;0;0;1;False
2022-05-01;21;9;1;0;1;False
2022-05-08;21;7;0;0;1;False
2022-05-15;19;7;0;0;1;False
2022-05-22;19;7;0;0;1;False
2022-05-29;22;8;0;0;1;False
2022-06-05;20;7;0;0;1;False
2022-06-12;17;7;0;0;1;False
2022-06-19;16;7;0;0;1;False
2022-06-26;16;8;0;0;1;False
2022-07-03;16;8;0;0;1;False
2022-07-10;17;8;0;0;1;False
2022-07-17;22;8;0;0;1;False
2022-07-24;21;10;0;0;1;False
2022-07-31;19;8;0;0;1;False
2022-08-07;23;9;0;0;1;False
2022-08-14;20;10;0;0;1;False
2022-08-21;18;9;0;0;1;False
2022-08-28;21;8;0;0;1;False
2022-09-04;17;10;0;0;1;False
2022-09-11;24;9;1;0;1;False
2022-09-18;60;7;0;0;1;False
2022-09-25;76;8;0;0;1;False
2022-10-02;46;10;0;0;1;False
2022-10-09;33;8;0;0;1;False
2022-10-16;31;9;0;0;0;False
2022-10-23;29;8;0;0;0;False
2022-10-30;25;8;0;0;0;False
2022-11-06;30;8;1;0;0;False
2022-11-13;36;6;1;0;0;False
2022-11-20;100;6;0;0;1;False
2022-11-27;99;6;0;0;1;False
2022-12-04;77;7;0;0;0;False
2022-12-11;46;8;0;0;0;False
2022-12-18;43;7;0;0;0;False
2022-12-25;31;9;0;0;1;False
2023-01-01;24;9;0;0;1;False
2023-01-08;23;8;0;0;1;False
2023-01-15;23;8;0;1;1;False
2023-01-22;23;9;0;1;1;False
2023-01-29;23;8;0;0;1;False
