date;Albania;Opioids;Coal;Jimi Hendrix;air travel;isPartial
2022-01-02;17;2;44;5;11;False
2022-01-09;20;2;43;5;13;False
2022-01-16;16;1;43;4;10;False
2022-01-23;18;2;44;4;11;False
2022-01-30;20;2;45;5;12;False
2022-02-06;16;2;42;4;12;False
2022-02-13;20;2;38;5;12;False
2022-02-20;23;2;42;6;12;False
2022-02-27;22;2;43;5;11;False
2022-03-06;21;2;45;5;11;False
2022-03-13;24;2;40;5;11;False
2022-03-20;28;2;41;5;11;False
2022-03-27;24;8;38;13;12;False
2022-04-03;17;1;42;7;11;False
2022-04-10;21;1;39;6;9;False
2022-04-17;19;2;36;5;10;False
2022-04-24;21;2;37;4;11;False
2022-05-01;27;2;37;6;11;False
2022-05-08;26;2;38;5;11;False
2022-05-15;24;2;37;5;12;False
2022-05-22;32;2;37;4;11;False
2022-05-29;28;1;38;6;11;False
2022-06-05;32;2;37;7;12;False
2022-06-12;26;1;42;6;11;False
2022-06-19;21;1;41;7;10;False
2022-06-26;25;1;36;5;11;False
2022-07-03;21;1;36;5;11;False
2022-07-10;25;1;37;5;12;False
2022-07-17;26;1;35;5;11;False
2022-07-24;27;1;41;5;11;False
2022-07-31;28;1;38;5;10;False
2022-08-07;30;1;42;6;10;False
2022-08-14;29;1;37;5;10;False
2022-08-21;32;1;49;5;8;False
2022-08-28;24;1;51;5;9;False
2022-09-04;23;2;47;4;10;False
2022-09-11;26;1;49;4;9;False
2022-09-18;25;1;48;5;8;False
2022-09-25;21;2;59;5;9;False
2022-10-02;19;1;59;5;8;False
2022-10-09;19;2;52;5;8;False
2022-10-16;18;2;49;4;7;False
2022-10-23;27;2;42;4;7;False
2022-10-30;49;1;48;5;7;False
2022-11-06;32;2;51;4;7;False
2022-11-13;33;2;51;6;6;False
2022-11-20;21;1;52;16;8;False
2022-11-27;38;2;58;11;8;False
2022-12-04;19;1;100;5;6;False
2022-12-11;24;2;83;5;7;False
2022-12-18;23;1;53;6;6;False
2022-12-25;30;1;46;7;8;False
2023-01-01;30;2;44;5;10;False
2023-01-08;29;3;45;6;9;False
2023-01-15;30;2;53;5;9;False
2023-01-22;27;1;49;4;8;False
2023-01-29;29;3;47;5;9;False
