date;Media;County Championship;Antonio Conte;halyna hutchins;air travel;isPartial
2022-01-02;86;1;1;0;2;False
2022-01-09;88;1;0;0;2;False
2022-01-16;83;1;1;0;2;False
2022-01-23;86;0;1;0;2;False
2022-01-30;100;1;0;0;2;False
2022-02-06;87;1;0;0;2;False
2022-02-13;82;0;1;0;2;False
2022-02-20;85;1;1;0;2;False
2022-02-27;81;0;1;0;2;False
2022-03-06;87;0;1;0;2;False
2022-03-13;83;0;0;0;2;False
2022-03-20;84;0;0;0;2;False
2022-03-27;83;0;0;0;2;False
2022-04-03;79;1;1;0;2;False
2022-04-10;76;2;0;0;2;False
2022-04-17;78;1;0;0;2;False
2022-04-24;87;1;1;1;2;False
2022-05-01;89;1;1;0;2;False
2022-05-08;84;1;1;0;2;False
2022-05-15;85;1;1;0;2;False
2022-05-22;83;1;1;0;2;False
2022-05-29;72;1;0;0;2;False
2022-06-05;84;1;0;0;2;False
2022-06-12;85;1;0;0;2;False
2022-06-19;82;0;0;0;2;False
2022-06-26;78;1;0;0;2;False
2022-07-03;78;0;0;0;2;False
2022-07-10;81;1;0;0;2;False
2022-07-17;79;1;0;0;2;False
2022-07-24;81;1;0;0;2;False
2022-07-31;79;0;0;0;2;False
2022-08-07;79;0;0;0;2;False
2022-08-14;75;0;2;0;2;False
2022-08-21;83;0;0;0;2;False
2022-08-28;79;0;1;0;2;False
2022-09-04;81;1;0;0;2;False
2022-09-11;86;1;1;0;2;False
2022-09-18;83;1;0;0;2;False
2022-09-25;86;2;1;0;2;False
2022-10-02;82;0;1;0;2;False
2022-10-09;86;0;1;0;1;False
2022-10-16;83;0;1;0;1;False
2022-10-23;85;0;1;0;1;False
2022-10-30;82;0;1;0;1;False
2022-11-06;88;0;1;0;1;False
2022-11-13;81;0;0;0;1;False
2022-11-20;77;0;0;0;1;False
2022-11-27;77;0;0;0;1;False
2022-12-04;75;0;0;0;1;False
2022-12-11;80;0;0;0;1;False
2022-12-18;67;0;0;0;1;False
2022-12-25;60;0;0;0;2;False
2023-01-01;73;0;1;0;2;False
2023-01-08;79;0;0;0;2;False
2023-01-15;85;0;1;1;2;False
2023-01-22;81;0;1;0;1;False
2023-01-29;89;0;1;0;2;False
