date;Guatemala;Keir Starmer;joe biden;Antony and Cleopatra;air travel;isPartial
2022-01-02;7;25;18;1;16;False
2022-01-09;8;93;16;1;19;False
2022-01-16;7;53;19;1;14;False
2022-01-23;7;20;54;1;15;False
2022-01-30;8;59;23;1;18;False
2022-02-06;7;75;21;1;18;False
2022-02-13;9;17;17;1;18;False
2022-02-20;8;13;50;1;18;False
2022-02-27;8;9;43;1;16;False
2022-03-06;10;9;23;1;17;False
2022-03-13;10;26;21;1;16;False
2022-03-20;9;8;37;0;16;False
2022-03-27;10;11;23;1;17;False
2022-04-03;7;11;19;0;16;False
2022-04-10;8;20;19;1;13;False
2022-04-17;7;20;14;0;15;False
2022-04-24;9;28;14;1;15;False
2022-05-01;7;67;16;1;16;False
2022-05-08;8;61;13;1;16;False
2022-05-15;9;37;12;0;17;False
2022-05-22;7;15;19;0;16;False
2022-05-29;8;26;20;0;16;False
2022-06-05;7;22;13;1;18;False
2022-06-12;7;36;31;0;16;False
2022-06-19;7;19;28;1;15;False
2022-06-26;6;27;19;0;16;False
2022-07-03;7;82;21;1;17;False
2022-07-10;7;30;31;0;17;False
2022-07-17;7;22;41;0;17;False
2022-07-24;8;33;26;0;16;False
2022-07-31;8;20;20;0;15;False
2022-08-07;7;17;15;0;14;False
2022-08-14;5;19;11;1;14;False
2022-08-21;7;11;12;0;12;False
2022-08-28;7;15;18;0;14;False
2022-09-04;7;32;29;1;15;False
2022-09-11;7;14;28;1;13;False
2022-09-18;8;19;100;1;12;False
2022-09-25;9;68;25;0;13;False
2022-10-02;8;14;21;1;12;False
2022-10-09;6;16;22;0;12;False
2022-10-16;7;48;18;1;10;False
2022-10-23;9;45;30;0;10;False
2022-10-30;8;17;23;1;10;False
2022-11-06;10;18;42;1;11;False
2022-11-13;8;14;26;1;9;False
2022-11-20;8;18;14;1;11;False
2022-11-27;8;20;11;1;11;False
2022-12-04;9;19;12;0;9;False
2022-12-11;11;9;9;0;10;False
2022-12-18;10;11;13;0;9;False
2022-12-25;9;5;11;0;12;False
2023-01-01;9;15;13;3;14;False
2023-01-08;9;11;27;1;13;False
2023-01-15;11;27;16;1;13;False
2023-01-22;10;13;20;0;12;False
2023-01-29;10;14;12;1;13;False
