date;Labour;National lottery;Carlisle;Flybe;air travel;isPartial
2022-01-02;22;64;25;1;3;False
2022-01-09;31;68;26;1;3;False
2022-01-16;26;74;34;1;2;False
2022-01-23;25;64;27;1;3;False
2022-01-30;26;86;32;1;3;False
2022-02-06;28;60;27;1;3;False
2022-02-13;21;53;29;1;3;False
2022-02-20;25;66;33;1;3;False
2022-02-27;23;66;27;1;3;False
2022-03-06;23;63;30;1;3;False
2022-03-13;22;63;26;2;3;False
2022-03-20;22;71;30;7;3;False
2022-03-27;24;63;27;2;3;False
2022-04-03;22;66;29;2;3;False
2022-04-10;23;67;29;3;2;False
2022-04-17;25;64;28;2;3;False
2022-04-24;31;66;26;2;3;False
2022-05-01;47;74;29;2;3;False
2022-05-08;30;75;27;2;3;False
2022-05-15;25;67;28;2;3;False
2022-05-22;23;67;26;2;3;False
2022-05-29;18;76;28;2;3;False
2022-06-05;23;71;24;2;3;False
2022-06-12;21;74;28;2;3;False
2022-06-19;22;82;26;3;3;False
2022-06-26;23;77;30;3;3;False
2022-07-03;29;94;28;2;3;False
2022-07-10;25;100;33;2;3;False
2022-07-17;23;86;34;2;3;False
2022-07-24;25;68;33;3;3;False
2022-07-31;18;74;32;2;3;False
2022-08-07;19;70;32;2;2;False
2022-08-14;17;61;31;2;2;False
2022-08-21;18;71;33;3;2;False
2022-08-28;20;74;28;2;2;False
2022-09-04;29;66;28;2;2;False
2022-09-11;20;73;27;2;2;False
2022-09-18;24;74;28;2;2;False
2022-09-25;42;69;28;2;2;False
2022-10-02;26;64;28;2;2;False
2022-10-09;25;63;29;2;2;False
2022-10-16;35;64;30;2;2;False
2022-10-23;27;71;29;2;2;False
2022-10-30;23;81;26;3;2;False
2022-11-06;25;60;27;3;2;False
2022-11-13;24;58;25;2;2;False
2022-11-20;19;57;25;2;2;False
2022-11-27;19;66;25;2;2;False
2022-12-04;21;65;25;2;2;False
2022-12-11;18;62;24;2;2;False
2022-12-18;14;79;32;2;2;False
2022-12-25;13;86;29;2;2;False
2023-01-01;20;64;28;3;2;False
2023-01-08;21;58;26;3;2;False
2023-01-15;24;61;27;2;2;False
2023-01-22;21;65;30;12;2;False
2023-01-29;22;76;33;5;2;False
