date;Agriculture;Conservation and indigenous people;Xi Jinping;lionel messi;air travel;isPartial
2022-01-02;0;0;1;3;6;False
2022-01-09;0;0;1;2;6;False
2022-01-16;0;0;1;5;5;False
2022-01-23;0;0;1;3;5;False
2022-01-30;0;0;2;4;6;False
2022-02-06;0;0;1;4;6;False
2022-02-13;0;0;1;3;6;False
2022-02-20;0;0;3;3;6;False
2022-02-27;0;0;2;3;6;False
2022-03-06;0;0;2;4;6;False
2022-03-13;0;0;3;4;6;False
2022-03-20;0;0;1;3;6;False
2022-03-27;0;0;1;3;6;False
2022-04-03;0;0;1;3;6;False
2022-04-10;0;0;1;3;5;False
2022-04-17;0;0;1;4;5;False
2022-04-24;0;0;1;3;5;False
2022-05-01;0;0;1;2;6;False
2022-05-08;0;0;1;3;6;False
2022-05-15;0;0;1;4;6;False
2022-05-22;0;0;1;2;6;False
2022-05-29;0;0;1;4;6;False
2022-06-05;0;0;1;4;7;False
2022-06-12;0;0;1;2;6;False
2022-06-19;0;0;0;3;5;False
2022-06-26;0;0;1;3;6;False
2022-07-03;0;0;1;2;6;False
2022-07-10;0;0;1;3;6;False
2022-07-17;0;0;1;3;6;False
2022-07-24;0;0;1;3;6;False
2022-07-31;0;0;2;6;5;False
2022-08-07;0;0;1;5;5;False
2022-08-14;0;0;1;2;5;False
2022-08-21;0;0;1;5;4;False
2022-08-28;0;0;1;5;5;False
2022-09-04;0;0;1;3;5;False
2022-09-11;0;0;3;5;5;False
2022-09-18;0;0;8;4;4;False
2022-09-25;0;0;11;4;4;False
2022-10-02;0;0;1;5;4;False
2022-10-09;0;0;3;4;4;False
2022-10-16;0;0;4;5;4;False
2022-10-23;0;0;5;5;3;False
2022-10-30;0;0;1;7;3;False
2022-11-06;0;0;2;5;4;False
2022-11-13;0;0;4;6;3;False
2022-11-20;0;0;1;15;4;False
2022-11-27;0;0;2;20;4;False
2022-12-04;0;0;1;18;3;False
2022-12-11;0;0;1;24;3;False
2022-12-18;0;0;1;100;3;False
2022-12-25;0;0;1;9;4;False
2023-01-01;0;0;1;6;5;False
2023-01-08;0;0;1;6;5;False
2023-01-15;0;0;1;4;5;False
2023-01-22;0;0;1;7;4;False
2023-01-29;0;0;1;5;4;False
