date;Employment law;Anxiety;Bedfordshire;Martin Luther King;air travel;isPartial
2022-01-02;4;91;18;4;7;False
2022-01-09;4;90;15;7;8;False
2022-01-16;4;77;17;16;6;False
2022-01-23;3;91;17;5;6;False
2022-01-30;4;92;18;4;7;False
2022-02-06;4;94;17;3;7;False
2022-02-13;3;85;15;3;7;False
2022-02-20;4;86;16;4;7;False
2022-02-27;3;90;16;4;6;False
2022-03-06;4;100;15;3;7;False
2022-03-13;5;83;15;3;7;False
2022-03-20;4;85;15;4;6;False
2022-03-27;4;82;14;4;7;False
2022-04-03;4;80;15;3;6;False
2022-04-10;3;74;15;2;5;False
2022-04-17;3;93;15;3;6;False
2022-04-24;4;80;14;4;6;False
2022-05-01;4;86;17;3;6;False
2022-05-08;4;92;16;3;7;False
2022-05-15;4;90;16;4;7;False
2022-05-22;4;80;15;4;6;False
2022-05-29;3;71;15;3;7;False
2022-06-05;4;80;16;4;7;False
2022-06-12;4;78;15;3;7;False
2022-06-19;3;74;15;4;6;False
2022-06-26;3;78;15;4;6;False
2022-07-03;4;72;17;4;7;False
2022-07-10;3;74;16;3;7;False
2022-07-17;3;70;16;3;7;False
2022-07-24;3;81;15;2;7;False
2022-07-31;4;77;16;2;6;False
2022-08-07;3;77;17;2;6;False
2022-08-14;3;72;17;2;6;False
2022-08-21;3;78;17;2;5;False
2022-08-28;3;78;16;2;5;False
2022-09-04;4;84;17;3;6;False
2022-09-11;3;72;16;4;5;False
2022-09-18;4;80;16;3;5;False
2022-09-25;4;72;16;4;5;False
2022-10-02;4;78;15;6;5;False
2022-10-09;4;90;16;6;5;False
2022-10-16;3;77;14;6;4;False
2022-10-23;3;81;15;4;4;False
2022-10-30;4;85;14;5;4;False
2022-11-06;4;86;15;4;4;False
2022-11-13;4;83;15;3;4;False
2022-11-20;3;71;12;2;5;False
2022-11-27;4;77;15;3;4;False
2022-12-04;3;76;12;3;4;False
2022-12-11;3;64;14;2;4;False
2022-12-18;3;67;11;2;4;False
2022-12-25;2;68;11;2;5;False
2023-01-01;3;89;15;4;6;False
2023-01-08;4;91;15;6;5;False
2023-01-15;4;95;15;16;5;False
2023-01-22;4;79;15;5;5;False
2023-01-29;5;87;15;5;5;False
