date;Georgia;Italy rugby union team;Australian police and policing;South Carolina;air travel;isPartial
2022-01-02;19;0;0;1;4;False
2022-01-09;19;0;0;1;4;False
2022-01-16;18;0;0;1;3;False
2022-01-23;19;0;0;1;4;False
2022-01-30;18;0;0;1;4;False
2022-02-06;18;0;0;2;4;False
2022-02-13;17;0;0;1;4;False
2022-02-20;32;0;0;2;4;False
2022-02-27;35;0;0;1;4;False
2022-03-06;25;0;0;1;4;False
2022-03-13;23;0;0;2;4;False
2022-03-20;21;0;0;2;4;False
2022-03-27;26;0;0;2;4;False
2022-04-03;30;0;0;2;4;False
2022-04-10;34;0;0;2;3;False
2022-04-17;38;0;0;2;4;False
2022-04-24;25;0;0;1;4;False
2022-05-01;19;0;0;1;4;False
2022-05-08;19;0;0;2;4;False
2022-05-15;18;0;0;1;4;False
2022-05-22;17;0;0;1;4;False
2022-05-29;20;0;0;1;4;False
2022-06-05;19;0;0;1;4;False
2022-06-12;24;0;0;1;4;False
2022-06-19;17;0;0;2;4;False
2022-06-26;17;0;0;1;4;False
2022-07-03;23;0;0;2;4;False
2022-07-10;23;0;0;2;4;False
2022-07-17;23;0;0;2;4;False
2022-07-24;20;0;0;2;4;False
2022-07-31;26;0;0;2;4;False
2022-08-07;18;0;0;2;4;False
2022-08-14;16;0;0;2;3;False
2022-08-21;17;0;0;2;3;False
2022-08-28;17;0;0;2;3;False
2022-09-04;15;0;0;2;4;False
2022-09-11;18;0;0;2;3;False
2022-09-18;17;0;0;1;3;False
2022-09-25;21;0;0;3;3;False
2022-10-02;18;0;0;2;3;False
2022-10-09;16;0;0;1;3;False
2022-10-16;15;0;0;2;3;False
2022-10-23;18;0;0;2;2;False
2022-10-30;17;0;0;1;2;False
2022-11-06;23;0;0;2;3;False
2022-11-13;43;0;0;1;2;False
2022-11-20;19;0;0;1;3;False
2022-11-27;22;0;0;1;3;False
2022-12-04;36;0;0;1;2;False
2022-12-11;46;0;0;1;2;False
2022-12-18;30;0;0;2;2;False
2022-12-25;19;0;0;2;3;False
2023-01-01;75;0;0;2;3;False
2023-01-08;100;0;0;1;3;False
2023-01-15;62;0;0;2;3;False
2023-01-22;46;0;0;2;3;False
2023-01-29;39;0;0;2;3;False
