date;volodymyr zelenskiy;Energy bills;Cumbria;new york city;air travel;isPartial
2022-01-02;0;16;90;24;15;False
2022-01-09;0;8;86;24;18;False
2022-01-16;0;11;79;21;13;False
2022-01-23;0;8;84;22;15;False
2022-01-30;0;72;84;22;17;False
2022-02-06;0;14;78;19;16;False
2022-02-13;0;7;100;20;17;False
2022-02-20;2;10;86;19;17;False
2022-02-27;1;14;76;17;15;False
2022-03-06;0;18;73;19;16;False
2022-03-13;0;14;75;19;15;False
2022-03-20;0;16;82;18;15;False
2022-03-27;0;23;83;17;16;False
2022-04-03;0;15;83;18;15;False
2022-04-10;0;10;82;19;13;False
2022-04-17;0;8;76;19;14;False
2022-04-24;0;9;86;19;15;False
2022-05-01;0;7;98;19;15;False
2022-05-08;0;9;84;17;15;False
2022-05-15;0;7;85;19;16;False
2022-05-22;0;54;85;17;15;False
2022-05-29;0;18;78;17;15;False
2022-06-05;0;12;84;18;17;False
2022-06-12;0;12;92;19;15;False
2022-06-19;0;11;82;19;14;False
2022-06-26;0;11;84;19;15;False
2022-07-03;0;19;80;21;16;False
2022-07-10;0;20;89;19;16;False
2022-07-17;0;12;89;19;16;False
2022-07-24;0;34;89;20;15;False
2022-07-31;0;26;88;18;14;False
2022-08-07;0;51;89;23;14;False
2022-08-14;0;32;83;19;13;False
2022-08-21;0;54;85;20;12;False
2022-08-28;0;53;78;21;13;False
2022-09-04;0;61;78;21;14;False
2022-09-11;0;27;75;21;12;False
2022-09-18;0;51;74;23;12;False
2022-09-25;0;64;78;20;12;False
2022-10-02;0;45;76;22;11;False
2022-10-09;1;33;77;21;11;False
2022-10-16;0;29;74;23;10;False
2022-10-23;0;22;66;23;9;False
2022-10-30;0;31;71;24;9;False
2022-11-06;0;20;73;23;10;False
2022-11-13;0;21;65;24;9;False
2022-11-20;0;16;60;20;11;False
2022-11-27;0;19;63;20;10;False
2022-12-04;0;18;72;19;9;False
2022-12-11;0;18;67;19;9;False
2022-12-18;0;14;67;23;9;False
2022-12-25;0;10;64;32;11;False
2023-01-01;0;19;72;24;13;False
2023-01-08;0;18;80;22;12;False
2023-01-15;0;18;78;22;12;False
2023-01-22;0;17;74;22;11;False
2023-01-29;0;16;76;22;12;False
