date;Bristol Old Vic;Cincinnati Bengals;Carlisle;Covid inquiry;air travel;isPartial
2023-01-01;0;1;78;0;6;False
2023-01-02;1;1;71;1;7;False
2023-01-03;1;7;69;0;5;False
2023-01-04;3;1;66;0;7;False
2023-01-05;2;1;67;0;6;False
2023-01-06;1;1;66;0;6;False
2023-01-07;2;1;68;0;4;False
2023-01-08;2;3;61;0;7;False
2023-01-09;1;0;67;0;4;False
2023-01-10;2;0;70;0;6;False
2023-01-11;1;1;65;1;7;False
2023-01-12;1;0;73;1;6;False
2023-01-13;1;0;70;0;5;False
2023-01-14;1;1;76;0;4;False
2023-01-15;2;1;64;0;5;False
2023-01-16;1;4;76;0;5;False
2023-01-17;1;1;65;0;4;False
2023-01-18;1;1;59;0;6;False
2023-01-19;2;1;69;1;6;False
2023-01-20;2;1;80;1;5;False
2023-01-21;2;1;73;0;5;False
2023-01-22;2;8;62;0;6;False
2023-01-23;3;4;68;1;6;False
2023-01-24;2;1;80;0;4;False
2023-01-25;0;0;81;0;6;False
2023-01-26;3;1;64;0;5;False
2023-01-27;1;0;70;0;4;False
2023-01-28;2;0;79;0;5;False
2023-01-29;1;2;68;0;5;False
2023-01-30;1;6;74;0;8;False
2023-01-31;1;0;100;0;7;False
