date;fitness;Australian Competition and Consumer Commission (ACCC);Trade policy;Stormzy;air travel;isPartial
2023-01-01;93;0;0;9;4;False
2023-01-02;100;0;0;5;5;False
2023-01-03;87;0;1;4;3;False
2023-01-04;81;0;1;5;5;False
2023-01-05;79;0;0;5;4;False
2023-01-06;73;0;1;5;4;False
2023-01-07;72;0;0;6;3;False
2023-01-08;89;0;1;7;4;False
2023-01-09;85;0;1;6;3;False
2023-01-10;78;0;1;5;4;False
2023-01-11;77;0;1;6;5;False
2023-01-12;77;0;0;6;4;False
2023-01-13;69;0;0;6;3;False
2023-01-14;68;0;1;6;3;False
2023-01-15;80;0;1;5;3;False
2023-01-16;76;0;0;14;3;False
2023-01-17;72;0;1;15;3;False
2023-01-18;69;0;0;11;4;False
2023-01-19;64;0;0;9;4;False
2023-01-20;67;0;1;7;3;False
2023-01-21;70;0;0;6;3;False
2023-01-22;72;0;1;7;4;False
2023-01-23;78;0;0;5;4;False
2023-01-24;72;0;1;6;3;False
2023-01-25;77;0;0;4;4;False
2023-01-26;72;0;0;4;3;False
2023-01-27;64;0;0;4;2;False
2023-01-28;66;0;1;5;3;False
2023-01-29;76;0;0;5;3;False
2023-01-30;91;0;0;4;5;False
2023-01-31;75;0;1;4;4;False
