date;Travel writing;Uber;Borussia Dortmund;joe lycett;air travel;isPartial
2022-01-02;0;90;2;7;5;False
2022-01-09;0;80;2;2;6;False
2022-01-16;0;82;2;2;4;False
2022-01-23;0;88;1;17;5;False
2022-01-30;0;89;1;4;6;False
2022-02-06;0;80;2;2;6;False
2022-02-13;0;91;7;2;6;False
2022-02-20;0;94;6;1;6;False
2022-02-27;0;94;2;1;5;False
2022-03-06;0;92;1;2;5;False
2022-03-13;0;91;3;2;5;False
2022-03-20;0;91;2;2;5;False
2022-03-27;0;92;1;3;5;False
2022-04-03;0;87;2;4;5;False
2022-04-10;0;88;2;3;4;False
2022-04-17;0;86;2;4;5;False
2022-04-24;0;86;2;3;5;False
2022-05-01;0;98;1;2;5;False
2022-05-08;0;88;3;1;5;False
2022-05-15;0;85;1;3;5;False
2022-05-22;0;90;1;2;5;False
2022-05-29;0;100;1;2;5;False
2022-06-05;0;89;1;2;6;False
2022-06-12;0;91;1;2;5;False
2022-06-19;0;93;1;18;5;False
2022-06-26;0;90;1;4;5;False
2022-07-03;0;89;1;5;5;False
2022-07-10;0;97;1;2;6;False
2022-07-17;0;96;1;2;5;False
2022-07-24;0;92;2;6;5;False
2022-07-31;0;88;1;2;5;False
2022-08-07;0;93;2;2;5;False
2022-08-14;0;79;2;4;4;False
2022-08-21;0;86;1;2;4;False
2022-08-28;0;90;2;2;4;False
2022-09-04;0;82;3;39;5;False
2022-09-11;0;84;5;7;4;False
2022-09-18;0;86;1;5;4;False
2022-09-25;0;91;1;3;4;False
2022-10-02;0;90;3;2;4;False
2022-10-09;0;82;2;2;4;False
2022-10-16;0;84;2;3;3;False
2022-10-23;0;88;4;1;3;False
2022-10-30;0;82;2;1;3;False
2022-11-06;0;85;3;3;3;False
2022-11-13;0;83;1;12;3;False
2022-11-20;0;76;1;21;4;False
2022-11-27;0;84;1;2;4;False
2022-12-04;0;84;2;3;3;False
2022-12-11;0;96;2;7;3;False
2022-12-18;0;96;1;6;3;False
2022-12-25;0;93;1;4;4;False
2023-01-01;0;74;1;1;4;False
2023-01-08;0;65;2;1;4;False
2023-01-15;0;77;1;2;4;False
2023-01-22;0;74;3;2;4;False
2023-01-29;0;75;2;1;4;False
