date;Email;Children and teenagers;Adjoa Andoh;Matthew Macfadyen;air travel;isPartial
2022-01-02;81;0;0;0;1;False
2022-01-09;97;0;0;0;1;False
2022-01-16;90;0;0;0;1;False
2022-01-23;88;0;0;0;1;False
2022-01-30;100;0;0;0;1;False
2022-02-06;88;0;0;0;1;False
2022-02-13;84;0;0;0;1;False
2022-02-20;81;0;0;0;1;False
2022-02-27;89;0;0;0;1;False
2022-03-06;93;0;0;0;1;False
2022-03-13;89;0;0;0;1;False
2022-03-20;86;0;0;0;1;False
2022-03-27;90;0;0;0;1;False
2022-04-03;86;0;0;0;1;False
2022-04-10;79;0;0;0;1;False
2022-04-17;79;0;0;0;1;False
2022-04-24;83;0;0;0;1;False
2022-05-01;83;0;0;0;1;False
2022-05-08;94;0;0;0;1;False
2022-05-15;93;0;0;0;1;False
2022-05-22;80;0;0;0;1;False
2022-05-29;72;0;0;0;1;False
2022-06-05;93;0;0;0;1;False
2022-06-12;95;0;0;0;1;False
2022-06-19;94;0;0;0;1;False
2022-06-26;92;0;0;0;1;False
2022-07-03;89;0;0;0;1;False
2022-07-10;92;0;0;0;1;False
2022-07-17;89;0;0;0;1;False
2022-07-24;87;0;0;0;1;False
2022-07-31;85;0;0;0;1;False
2022-08-07;88;0;0;0;1;False
2022-08-14;79;0;0;0;1;False
2022-08-21;85;0;0;0;1;False
2022-08-28;89;0;0;0;1;False
2022-09-04;91;0;0;0;1;False
2022-09-11;90;0;0;0;1;False
2022-09-18;82;0;0;0;1;False
2022-09-25;92;0;0;0;1;False
2022-10-02;90;0;0;0;1;False
2022-10-09;92;0;0;0;1;False
2022-10-16;82;0;0;0;1;False
2022-10-23;81;0;0;0;1;False
2022-10-30;84;0;0;0;1;False
2022-11-06;89;0;0;0;1;False
2022-11-13;88;0;0;0;1;False
2022-11-20;85;0;0;0;1;False
2022-11-27;90;0;0;0;1;False
2022-12-04;84;0;0;0;1;False
2022-12-11;93;0;0;0;1;False
2022-12-18;71;0;0;0;1;False
2022-12-25;61;0;0;0;1;False
2023-01-01;77;0;0;2;1;False
2023-01-08;87;0;0;0;1;False
2023-01-15;99;0;0;0;1;False
2023-01-22;86;0;0;0;1;False
2023-01-29;97;0;0;0;1;False
