date;dani dyer;North-south divide;Theranos;Joy Division;air travel;isPartial
2023-01-01;3;0;1;5;11;False
2023-01-02;1;0;2;2;13;False
2023-01-03;1;0;0;0;8;False
2023-01-04;1;1;1;2;13;False
2023-01-05;0;1;4;2;10;False
2023-01-06;3;0;1;1;10;False
2023-01-07;0;0;4;5;8;False
2023-01-08;4;0;4;6;12;False
2023-01-09;1;0;1;3;7;False
2023-01-10;0;0;2;7;11;False
2023-01-11;0;0;0;2;13;False
2023-01-12;0;0;1;5;11;False
2023-01-13;1;0;2;5;8;False
2023-01-14;2;0;3;5;8;False
2023-01-15;3;0;2;5;9;False
2023-01-16;0;0;1;3;10;False
2023-01-17;4;0;1;3;8;False
2023-01-18;0;0;0;6;11;False
2023-01-19;2;0;1;3;10;False
2023-01-20;54;0;0;3;8;False
2023-01-21;100;0;45;1;9;False
2023-01-22;25;0;11;4;10;False
2023-01-23;14;0;3;0;10;False
2023-01-24;6;0;2;5;8;False
2023-01-25;9;0;3;3;11;False
2023-01-26;3;0;0;3;10;False
2023-01-27;2;0;0;3;7;False
2023-01-28;5;0;1;13;9;False
2023-01-29;4;3;1;4;9;False
2023-01-30;10;0;2;4;14;False
2023-01-31;3;0;2;2;12;False
