date;Jared Leto;Civil service;Nancy Pelosi;US prisons;air travel;isPartial
2022-01-02;11;66;3;0;17;False
2022-01-09;9;74;4;1;18;False
2022-01-16;8;73;2;1;14;False
2022-01-23;10;73;2;0;16;False
2022-01-30;10;78;1;0;18;False
2022-02-06;12;73;2;1;18;False
2022-02-13;12;67;1;0;18;False
2022-02-20;13;66;2;0;18;False
2022-02-27;13;67;8;0;16;False
2022-03-06;16;68;3;0;17;False
2022-03-13;25;66;6;0;17;False
2022-03-20;32;70;3;0;16;False
2022-03-27;42;69;2;1;17;False
2022-04-03;55;66;2;1;16;False
2022-04-10;35;61;1;0;14;False
2022-04-17;21;59;2;0;15;False
2022-04-24;14;68;1;1;16;False
2022-05-01;22;62;12;0;16;False
2022-05-08;14;100;1;0;17;False
2022-05-15;16;73;4;0;17;False
2022-05-22;13;68;4;0;17;False
2022-05-29;17;58;6;0;17;False
2022-06-05;19;66;4;0;19;False
2022-06-12;16;65;3;0;16;False
2022-06-19;14;68;4;0;15;False
2022-06-26;11;66;4;0;16;False
2022-07-03;11;70;3;0;17;False
2022-07-10;10;61;3;0;18;False
2022-07-17;9;68;5;0;17;False
2022-07-24;9;65;11;0;17;False
2022-07-31;10;67;75;0;15;False
2022-08-07;10;67;8;0;15;False
2022-08-14;9;63;3;0;15;False
2022-08-21;8;64;2;0;13;False
2022-08-28;8;60;2;0;14;False
2022-09-04;6;71;2;0;15;False
2022-09-11;7;64;3;0;13;False
2022-09-18;7;61;3;0;12;False
2022-09-25;6;71;2;0;13;False
2022-10-02;6;68;2;0;12;False
2022-10-09;7;64;9;0;12;False
2022-10-16;8;69;2;0;11;False
2022-10-23;8;69;32;0;10;False
2022-10-30;12;66;15;0;10;False
2022-11-06;11;72;9;0;11;False
2022-11-13;6;70;23;0;9;False
2022-11-20;4;58;3;0;12;False
2022-11-27;6;61;2;0;11;False
2022-12-04;6;65;2;0;10;False
2022-12-11;9;66;3;0;10;False
2022-12-18;8;62;3;0;9;False
2022-12-25;18;39;2;0;12;False
2023-01-01;11;63;8;0;14;False
2023-01-08;8;73;3;0;13;False
2023-01-15;11;70;1;0;13;False
2023-01-22;8;74;4;0;12;False
2023-01-29;7;79;2;0;13;False
