date;Michael O'Leary;Jamal Khashoggi;jake davison;World cinema;air travel;isPartial
2022-01-02;1;1;2;21;66;False
2022-01-09;0;2;1;18;76;False
2022-01-16;0;0;0;17;57;False
2022-01-23;0;0;0;19;62;False
2022-01-30;1;3;0;20;70;False
2022-02-06;0;2;13;25;71;False
2022-02-13;0;1;0;33;72;False
2022-02-20;0;12;1;38;72;False
2022-02-27;0;2;1;19;63;False
2022-03-06;1;3;2;21;67;False
2022-03-13;2;4;4;20;66;False
2022-03-20;0;2;1;26;65;False
2022-03-27;0;3;2;34;69;False
2022-04-03;2;1;2;31;63;False
2022-04-10;1;3;1;29;54;False
2022-04-17;0;4;2;24;60;False
2022-04-24;1;2;1;24;62;False
2022-05-01;0;1;0;36;64;False
2022-05-08;0;0;1;21;66;False
2022-05-15;0;2;2;25;69;False
2022-05-22;0;2;2;35;65;False
2022-05-29;1;0;0;58;66;False
2022-06-05;0;7;3;100;74;False
2022-06-12;0;2;1;78;64;False
2022-06-19;1;3;1;58;60;False
2022-06-26;2;2;1;65;64;False
2022-07-03;0;1;0;42;68;False
2022-07-10;0;5;0;34;70;False
2022-07-17;1;3;1;34;67;False
2022-07-24;0;1;0;46;66;False
2022-07-31;0;2;0;31;60;False
2022-08-07;0;0;2;24;58;False
2022-08-14;0;2;0;32;57;False
2022-08-21;0;0;1;29;50;False
2022-08-28;2;2;0;58;54;False
2022-09-04;1;0;1;17;59;False
2022-09-11;0;2;2;20;51;False
2022-09-18;0;3;3;18;50;False
2022-09-25;0;1;1;21;50;False
2022-10-02;0;4;1;19;48;False
2022-10-09;0;1;1;23;47;False
2022-10-16;1;1;0;27;42;False
2022-10-23;0;4;1;31;39;False
2022-10-30;0;2;1;23;39;False
2022-11-06;0;1;4;26;44;False
2022-11-13;0;4;1;36;37;False
2022-11-20;0;4;0;69;46;False
2022-11-27;0;1;0;82;45;False
2022-12-04;0;2;0;64;38;False
2022-12-11;0;2;1;43;39;False
2022-12-18;1;2;4;48;37;False
2022-12-25;0;2;0;53;48;False
2023-01-01;4;0;0;37;57;False
2023-01-08;0;1;0;25;52;False
2023-01-15;0;2;11;22;51;False
2023-01-22;0;1;4;23;47;False
2023-01-29;0;0;1;24;51;False
