date;El Niño southern oscillation;Crime - Australia;ME / Chronic fatigue syndrome;leicester;air travel;isPartial
2023-01-01;0;16;0;47;1;False
2023-01-02;0;17;0;52;1;False
2023-01-03;0;18;0;76;1;False
2023-01-04;0;18;0;48;1;False
2023-01-05;0;19;0;44;1;False
2023-01-06;0;17;0;48;1;False
2023-01-07;0;16;0;73;1;False
2023-01-08;0;17;0;46;1;False
2023-01-09;0;20;0;47;1;False
2023-01-10;0;20;0;100;1;False
2023-01-11;0;19;0;54;1;False
2023-01-12;0;21;0;48;1;False
2023-01-13;0;17;0;51;1;False
2023-01-14;0;16;0;85;1;False
2023-01-15;0;18;0;47;1;False
2023-01-16;0;21;0;49;1;False
2023-01-17;0;21;0;47;1;False
2023-01-18;0;20;0;50;1;False
2023-01-19;0;18;0;49;1;False
2023-01-20;0;17;0;59;1;False
2023-01-21;0;15;0;84;1;False
2023-01-22;0;16;0;47;1;False
2023-01-23;0;19;0;49;1;False
2023-01-24;0;19;0;46;1;False
2023-01-25;0;21;0;48;1;False
2023-01-26;0;21;0;47;1;False
2023-01-27;0;19;0;51;1;False
2023-01-28;0;15;0;81;1;False
2023-01-29;0;18;0;48;1;False
2023-01-30;0;17;0;51;2;False
2023-01-31;0;18;0;56;1;False
