date;Kirstie Allsopp;BTS;Torture;snakes;air travel;isPartial
2023-01-01;11;91;26;67;22;False
2023-01-02;4;85;20;60;26;False
2023-01-03;4;80;22;51;17;False
2023-01-04;7;73;24;60;25;False
2023-01-05;2;72;18;44;21;False
2023-01-06;4;87;26;48;21;False
2023-01-07;2;78;23;53;15;False
2023-01-08;0;78;30;61;24;False
2023-01-09;2;73;28;55;14;False
2023-01-10;2;83;29;56;22;False
2023-01-11;6;100;22;51;25;False
2023-01-12;4;92;23;54;21;False
2023-01-13;7;84;26;53;17;False
2023-01-14;8;78;21;64;16;False
2023-01-15;0;97;22;57;19;False
2023-01-16;0;65;37;52;19;False
2023-01-17;4;66;27;43;16;False
2023-01-18;9;75;19;47;23;False
2023-01-19;1;65;16;47;21;False
2023-01-20;0;66;27;55;17;False
2023-01-21;0;92;27;81;18;False
2023-01-22;3;83;22;71;20;False
2023-01-23;2;70;25;52;20;False
2023-01-24;1;62;24;64;16;False
2023-01-25;13;67;30;54;21;False
2023-01-26;16;71;28;49;19;False
2023-01-27;5;69;26;54;13;False
2023-01-28;3;79;22;49;19;False
2023-01-29;3;87;30;53;17;False
2023-01-30;3;71;22;55;28;False
2023-01-31;4;87;18;59;24;False
