date;Trump administration;meteor;daily podcast;Nuclear power;air travel;isPartial
2022-01-02;0;20;1;4;7;False
2022-01-09;0;6;1;3;7;False
2022-01-16;0;7;1;3;6;False
2022-01-23;0;8;0;4;6;False
2022-01-30;0;7;1;4;7;False
2022-02-06;0;6;0;5;7;False
2022-02-13;0;5;0;4;7;False
2022-02-20;0;6;1;18;7;False
2022-02-27;0;6;1;33;7;False
2022-03-06;0;6;1;13;7;False
2022-03-13;0;6;0;7;7;False
2022-03-20;0;7;0;6;7;False
2022-03-27;0;6;1;6;7;False
2022-04-03;0;6;1;9;6;False
2022-04-10;0;7;0;4;6;False
2022-04-17;0;11;1;4;6;False
2022-04-24;0;5;1;4;6;False
2022-05-01;0;12;0;6;7;False
2022-05-08;0;7;1;6;7;False
2022-05-15;0;10;1;5;7;False
2022-05-22;0;6;1;5;7;False
2022-05-29;0;9;1;4;7;False
2022-06-05;0;6;1;3;8;False
2022-06-12;0;6;1;3;7;False
2022-06-19;0;6;1;3;6;False
2022-06-26;0;8;1;3;7;False
2022-07-03;0;6;1;4;7;False
2022-07-10;0;7;1;3;7;False
2022-07-17;0;7;1;5;7;False
2022-07-24;0;8;1;3;7;False
2022-07-31;0;8;0;6;6;False
2022-08-07;0;100;1;7;6;False
2022-08-14;0;14;0;5;6;False
2022-08-21;0;6;1;6;5;False
2022-08-28;0;8;1;9;6;False
2022-09-04;0;8;1;7;6;False
2022-09-11;0;20;1;4;5;False
2022-09-18;0;7;1;4;5;False
2022-09-25;0;8;1;4;5;False
2022-10-02;0;12;1;6;5;False
2022-10-09;0;8;1;5;5;False
2022-10-16;0;10;1;4;4;False
2022-10-23;0;7;0;4;4;False
2022-10-30;0;6;1;4;4;False
2022-11-06;0;9;1;4;5;False
2022-11-13;0;21;1;7;4;False
2022-11-20;0;7;1;4;5;False
2022-11-27;0;5;1;5;5;False
2022-12-04;0;6;1;4;4;False
2022-12-11;0;15;1;4;4;False
2022-12-18;0;6;1;2;4;False
2022-12-25;0;7;0;2;5;False
2023-01-01;0;14;1;3;6;False
2023-01-08;0;16;1;3;5;False
2023-01-15;0;7;0;4;5;False
2023-01-22;0;9;1;4;5;False
2023-01-29;0;9;1;4;5;False
