date;University of Cambridge;Video assistant referees (VARs);Rebecca Frecknall;Economic policy;air travel;isPartial
2022-01-02;38;0;0;9;90;False
2022-01-09;46;0;0;7;98;False
2022-01-16;47;0;0;9;77;False
2022-01-23;51;0;0;9;84;False
2022-01-30;48;0;1;7;95;False
2022-02-06;48;0;0;5;96;False
2022-02-13;46;0;0;8;96;False
2022-02-20;47;0;0;12;98;False
2022-02-27;49;0;0;12;86;False
2022-03-06;41;0;0;11;90;False
2022-03-13;51;0;0;14;90;False
2022-03-20;45;0;0;14;88;False
2022-03-27;51;0;0;13;93;False
2022-04-03;46;0;1;10;85;False
2022-04-10;39;0;2;7;74;False
2022-04-17;41;0;0;15;82;False
2022-04-24;46;0;1;14;84;False
2022-05-01;43;0;0;15;87;False
2022-05-08;46;0;2;14;89;False
2022-05-15;49;0;0;14;93;False
2022-05-22;43;0;0;14;88;False
2022-05-29;42;0;0;19;90;False
2022-06-05;46;0;1;12;100;False
2022-06-12;45;0;1;10;87;False
2022-06-19;46;0;2;8;81;False
2022-06-26;52;0;1;6;87;False
2022-07-03;52;0;2;5;92;False
2022-07-10;46;0;2;6;95;False
2022-07-17;50;0;0;10;91;False
2022-07-24;44;0;0;7;90;False
2022-07-31;41;0;0;6;81;False
2022-08-07;46;0;0;3;78;False
2022-08-14;45;0;1;4;77;False
2022-08-21;54;0;1;2;67;False
2022-08-28;55;0;0;5;74;False
2022-09-04;62;0;1;8;80;False
2022-09-11;64;0;0;8;69;False
2022-09-18;53;0;0;9;66;False
2022-09-25;67;0;0;11;68;False
2022-10-02;63;0;0;13;65;False
2022-10-09;64;0;0;15;63;False
2022-10-16;56;0;0;12;57;False
2022-10-23;51;0;0;8;53;False
2022-10-30;53;0;0;17;53;False
2022-11-06;49;0;0;11;59;False
2022-11-13;52;0;0;10;50;False
2022-11-20;54;0;0;10;62;False
2022-11-27;43;0;0;13;61;False
2022-12-04;59;0;0;11;52;False
2022-12-11;43;0;0;11;53;False
2022-12-18;35;0;2;6;50;False
2022-12-25;28;0;0;3;66;False
2023-01-01;51;0;1;7;77;False
2023-01-08;55;0;0;16;71;False
2023-01-15;56;0;2;13;69;False
2023-01-22;61;0;1;11;64;False
2023-01-29;55;0;0;9;69;False
