date;Eurostar;Avengers: Endgame;Manchester;UK civil liberties;air travel;isPartial
2022-01-02;2;0;72;0;1;False
2022-01-09;2;0;73;0;1;False
2022-01-16;2;0;74;0;1;False
2022-01-23;2;0;75;0;1;False
2022-01-30;3;0;85;0;1;False
2022-02-06;3;0;75;0;1;False
2022-02-13;3;0;82;0;1;False
2022-02-20;3;0;85;0;1;False
2022-02-27;3;0;74;0;1;False
2022-03-06;3;0;81;0;1;False
2022-03-13;4;0;80;0;1;False
2022-03-20;4;0;82;0;1;False
2022-03-27;4;0;76;0;1;False
2022-04-03;4;0;88;0;1;False
2022-04-10;3;0;85;0;0;False
2022-04-17;5;0;85;0;1;False
2022-04-24;4;0;80;0;1;False
2022-05-01;4;0;95;0;1;False
2022-05-08;4;0;85;0;1;False
2022-05-15;4;0;86;0;1;False
2022-05-22;4;0;88;0;1;False
2022-05-29;4;0;94;0;1;False
2022-06-05;5;0;82;0;1;False
2022-06-12;4;0;87;0;1;False
2022-06-19;4;0;78;0;1;False
2022-06-26;4;0;78;0;1;False
2022-07-03;4;0;80;0;1;False
2022-07-10;4;0;91;0;1;False
2022-07-17;5;0;88;0;1;False
2022-07-24;5;0;88;0;1;False
2022-07-31;4;0;83;0;1;False
2022-08-07;4;0;100;0;1;False
2022-08-14;3;0;82;0;1;False
2022-08-21;4;0;97;0;0;False
2022-08-28;4;0;90;0;0;False
2022-09-04;3;0;89;0;1;False
2022-09-11;4;0;81;0;0;False
2022-09-18;3;0;71;0;0;False
2022-09-25;3;0;76;0;0;False
2022-10-02;3;0;90;0;0;False
2022-10-09;3;0;87;0;0;False
2022-10-16;3;0;88;0;0;False
2022-10-23;3;0;78;0;0;False
2022-10-30;3;0;78;0;0;False
2022-11-06;5;0;86;0;0;False
2022-11-13;3;0;71;0;0;False
2022-11-20;3;0;74;0;0;False
2022-11-27;3;0;72;0;0;False
2022-12-04;3;0;71;0;0;False
2022-12-11;3;0;73;0;0;False
2022-12-18;3;0;68;0;0;False
2022-12-25;3;0;76;0;0;False
2023-01-01;4;0;77;0;1;False
2023-01-08;5;0;88;0;0;False
2023-01-15;4;0;81;0;0;False
2023-01-22;4;0;87;0;0;False
2023-01-29;4;0;83;0;0;False
