date;Government data;Tanzania;A-levels;Gucci;air travel;isPartial
2022-01-02;1;7;0;97;6;False
2022-01-09;1;7;0;88;7;False
2022-01-16;1;6;0;83;5;False
2022-01-23;1;7;0;75;5;False
2022-01-30;1;6;0;100;6;False
2022-02-06;1;7;0;89;6;False
2022-02-13;1;6;0;89;6;False
2022-02-20;1;7;0;79;6;False
2022-02-27;1;6;0;80;5;False
2022-03-06;1;6;0;73;6;False
2022-03-13;1;7;0;72;6;False
2022-03-20;1;7;0;74;6;False
2022-03-27;1;6;0;63;6;False
2022-04-03;1;6;0;61;5;False
2022-04-10;0;6;0;64;5;False
2022-04-17;1;6;0;63;5;False
2022-04-24;1;6;0;58;5;False
2022-05-01;1;7;0;65;6;False
2022-05-08;1;6;0;62;6;False
2022-05-15;1;6;0;59;6;False
2022-05-22;1;6;0;61;6;False
2022-05-29;1;7;0;64;6;False
2022-06-05;0;7;0;68;6;False
2022-06-12;1;7;0;81;6;False
2022-06-19;0;7;0;95;5;False
2022-06-26;1;7;0;95;6;False
2022-07-03;1;6;0;73;6;False
2022-07-10;0;7;0;72;6;False
2022-07-17;0;7;0;69;6;False
2022-07-24;1;7;0;64;6;False
2022-07-31;0;8;0;63;5;False
2022-08-07;1;7;0;62;5;False
2022-08-14;0;6;1;58;5;False
2022-08-21;0;6;0;63;4;False
2022-08-28;0;6;0;63;5;False
2022-09-04;0;6;0;56;5;False
2022-09-11;1;6;0;58;4;False
2022-09-18;0;7;0;50;4;False
2022-09-25;1;6;0;55;4;False
2022-10-02;1;6;0;55;4;False
2022-10-09;1;6;0;56;4;False
2022-10-16;1;5;0;58;4;False
2022-10-23;1;6;0;69;3;False
2022-10-30;1;6;0;57;3;False
2022-11-06;1;9;0;66;4;False
2022-11-13;1;6;0;63;3;False
2022-11-20;1;5;0;72;4;False
2022-11-27;1;5;0;71;4;False
2022-12-04;1;6;0;70;3;False
2022-12-11;1;5;0;73;3;False
2022-12-18;0;5;0;77;3;False
2022-12-25;0;6;0;82;4;False
2023-01-01;0;7;0;56;5;False
2023-01-08;1;7;0;49;4;False
2023-01-15;1;8;0;46;4;False
2023-01-22;1;7;0;50;4;False
2023-01-29;1;8;0;49;4;False
