date;NWSL;George Eliot;Shami Chakrabarti;new zealand;air travel;isPartial
2022-01-02;0;1;0;27;4;False
2022-01-09;0;1;0;25;4;False
2022-01-16;0;1;0;23;3;False
2022-01-23;0;1;0;27;3;False
2022-01-30;0;1;0;25;4;False
2022-02-06;0;2;0;22;4;False
2022-02-13;0;1;0;26;4;False
2022-02-20;0;1;0;30;4;False
2022-02-27;0;1;0;27;3;False
2022-03-06;0;1;0;23;4;False
2022-03-13;0;1;0;24;4;False
2022-03-20;0;2;0;26;4;False
2022-03-27;0;1;0;26;4;False
2022-04-03;0;1;0;23;3;False
2022-04-10;0;1;0;20;3;False
2022-04-17;0;1;0;20;3;False
2022-04-24;0;1;0;22;3;False
2022-05-01;0;1;0;24;4;False
2022-05-08;0;1;0;24;4;False
2022-05-15;0;1;0;21;4;False
2022-05-22;0;1;0;22;4;False
2022-05-29;0;1;0;77;4;False
2022-06-05;0;1;0;66;4;False
2022-06-12;0;1;0;100;4;False
2022-06-19;0;1;0;74;3;False
2022-06-26;0;1;0;74;4;False
2022-07-03;0;1;0;35;4;False
2022-07-10;0;1;0;47;4;False
2022-07-17;0;1;0;31;4;False
2022-07-24;0;1;0;32;4;False
2022-07-31;0;1;0;45;3;False
2022-08-07;0;3;0;39;3;False
2022-08-14;0;1;0;32;3;False
2022-08-21;0;1;0;32;3;False
2022-08-28;0;1;0;27;3;False
2022-09-04;0;1;0;34;3;False
2022-09-11;0;1;0;31;3;False
2022-09-18;0;1;0;35;3;False
2022-09-25;0;1;0;35;3;False
2022-10-02;1;2;0;33;3;False
2022-10-09;0;1;0;39;3;False
2022-10-16;0;1;0;36;2;False
2022-10-23;0;1;0;42;2;False
2022-10-30;0;1;0;80;2;False
2022-11-06;0;1;0;72;2;False
2022-11-13;0;1;0;96;2;False
2022-11-20;0;1;0;52;3;False
2022-11-27;0;1;0;33;2;False
2022-12-04;0;1;0;27;2;False
2022-12-11;0;1;0;27;2;False
2022-12-18;0;1;0;37;2;False
2022-12-25;0;1;0;63;3;False
2023-01-01;0;1;0;45;3;False
2023-01-08;0;1;0;46;3;False
2023-01-15;0;1;0;51;3;False
2023-01-22;0;2;0;50;3;False
2023-01-29;0;1;0;45;3;False
