date;Luc Besson;Cumbria;Royal Albert Hall;bristol;air travel;isPartial
2023-01-01;0;7;3;90;1;False
2023-01-02;0;7;2;82;1;False
2023-01-03;0;8;2;90;1;False
2023-01-04;0;7;1;86;1;False
2023-01-05;0;8;1;83;1;False
2023-01-06;0;7;1;81;1;False
2023-01-07;0;6;2;85;1;False
2023-01-08;0;8;2;96;1;False
2023-01-09;0;8;2;93;1;False
2023-01-10;0;9;1;93;1;False
2023-01-11;0;8;2;92;1;False
2023-01-12;0;8;3;95;1;False
2023-01-13;0;7;2;86;1;False
2023-01-14;0;7;3;99;1;False
2023-01-15;0;6;2;83;1;False
2023-01-16;0;9;2;95;1;False
2023-01-17;0;8;3;95;1;False
2023-01-18;0;8;3;92;1;False
2023-01-19;0;8;3;83;1;False
2023-01-20;0;8;3;87;1;False
2023-01-21;0;7;3;93;1;False
2023-01-22;0;7;3;85;1;False
2023-01-23;0;8;2;87;1;False
2023-01-24;0;7;1;89;1;False
2023-01-25;0;8;2;84;1;False
2023-01-26;0;8;2;88;1;False
2023-01-27;0;7;4;92;1;False
2023-01-28;0;6;3;100;1;False
2023-01-29;0;6;2;83;1;False
2023-01-30;0;8;2;98;2;False
2023-01-31;0;7;3;100;1;False
