date;Cambridge;HMRC;Ken Russell;Edinburgh;air travel;isPartial
2023-01-01;26;9;0;69;1;False
2023-01-02;30;15;0;76;1;False
2023-01-03;28;35;0;75;1;False
2023-01-04;27;31;0;74;1;False
2023-01-05;28;33;0;69;1;False
2023-01-06;29;29;0;67;1;False
2023-01-07;27;16;0;64;1;False
2023-01-08;28;16;0;64;1;False
2023-01-09;28;31;0;69;1;False
2023-01-10;29;41;0;71;1;False
2023-01-11;29;33;0;64;1;False
2023-01-12;29;32;0;68;1;False
2023-01-13;30;28;0;67;1;False
2023-01-14;29;16;0;70;1;False
2023-01-15;28;16;0;69;1;False
2023-01-16;31;37;0;67;1;False
2023-01-17;28;35;0;69;1;False
2023-01-18;29;34;0;75;1;False
2023-01-19;27;34;0;70;1;False
2023-01-20;29;32;0;69;1;False
2023-01-21;31;20;0;73;1;False
2023-01-22;28;22;0;68;1;False
2023-01-23;31;44;0;100;1;False
2023-01-24;31;57;0;88;1;False
2023-01-25;33;51;0;70;1;False
2023-01-26;31;47;0;64;1;False
2023-01-27;31;44;0;76;1;False
2023-01-28;28;24;0;73;1;False
2023-01-29;28;31;0;69;1;False
2023-01-30;31;79;0;77;1;False
2023-01-31;31;82;0;80;1;False
