date;Transfer window;love island;michael gove;Saracens;air travel;isPartial
2022-01-02;1;4;0;1;1;False
2022-01-09;0;4;1;1;1;False
2022-01-16;0;3;0;1;1;False
2022-01-23;1;3;0;1;1;False
2022-01-30;2;3;1;1;1;False
2022-02-06;0;3;0;1;1;False
2022-02-13;0;3;0;1;1;False
2022-02-20;0;3;0;1;1;False
2022-02-27;0;3;0;1;1;False
2022-03-06;0;3;0;1;1;False
2022-03-13;0;3;1;1;1;False
2022-03-20;0;3;0;2;1;False
2022-03-27;0;2;0;1;1;False
2022-04-03;0;3;0;1;1;False
2022-04-10;0;3;0;1;1;False
2022-04-17;0;3;0;1;1;False
2022-04-24;0;3;0;1;1;False
2022-05-01;0;3;0;1;1;False
2022-05-08;0;4;2;1;1;False
2022-05-15;0;6;0;1;1;False
2022-05-22;1;7;0;1;1;False
2022-05-29;1;22;0;1;1;False
2022-06-05;1;100;0;2;1;False
2022-06-12;0;55;0;3;1;False
2022-06-19;0;53;0;1;1;False
2022-06-26;1;49;0;0;1;False
2022-07-03;0;64;5;0;1;False
2022-07-10;0;94;1;1;1;False
2022-07-17;1;57;0;0;1;False
2022-07-24;1;54;0;0;1;False
2022-07-31;1;66;0;0;1;False
2022-08-07;1;26;0;1;1;False
2022-08-14;1;10;1;0;1;False
2022-08-21;1;9;0;1;1;False
2022-08-28;3;8;1;1;1;False
2022-09-04;0;5;0;1;1;False
2022-09-11;0;4;0;1;1;False
2022-09-18;0;4;0;1;1;False
2022-09-25;0;4;0;1;1;False
2022-10-02;0;3;1;1;1;False
2022-10-09;0;3;0;1;1;False
2022-10-16;0;4;0;1;0;False
2022-10-23;0;3;1;1;0;False
2022-10-30;0;3;0;1;0;False
2022-11-06;0;4;0;1;1;False
2022-11-13;0;3;0;1;0;False
2022-11-20;0;3;0;1;1;False
2022-11-27;0;4;0;1;1;False
2022-12-04;0;4;0;1;0;False
2022-12-11;0;4;0;1;0;False
2022-12-18;0;5;0;1;0;False
2022-12-25;1;6;0;1;1;False
2023-01-01;1;9;0;1;1;False
2023-01-08;0;13;0;1;1;False
2023-01-15;0;48;0;1;1;False
2023-01-22;1;34;0;1;1;False
2023-01-29;2;28;0;1;1;False
