date;Myanmar coup;Games;Extinction Rebellion;Food banks;air travel;isPartial
2023-01-01;0;100;0;0;1;False
2023-01-02;0;93;1;0;1;False
2023-01-03;0;86;0;1;1;False
2023-01-04;0;78;0;0;1;False
2023-01-05;0;75;0;1;1;False
2023-01-06;0;91;0;0;1;False
2023-01-07;0;89;0;0;1;False
2023-01-08;0;95;0;0;1;False
2023-01-09;0;72;0;0;1;False
2023-01-10;0;78;0;0;1;False
2023-01-11;0;78;0;1;1;False
2023-01-12;0;85;0;0;1;False
2023-01-13;0;84;0;0;1;False
2023-01-14;0;89;0;0;1;False
2023-01-15;0;88;0;0;1;False
2023-01-16;0;79;0;0;1;False
2023-01-17;0;75;0;0;1;False
2023-01-18;0;82;0;1;1;False
2023-01-19;0;78;0;1;1;False
2023-01-20;0;91;0;1;1;False
2023-01-21;0;98;0;0;1;False
2023-01-22;0;86;0;0;1;False
2023-01-23;0;79;0;1;1;False
2023-01-24;0;82;0;1;1;False
2023-01-25;0;78;0;0;1;False
2023-01-26;0;80;0;1;1;False
2023-01-27;0;92;0;1;0;False
2023-01-28;0;92;0;0;1;False
2023-01-29;0;97;0;0;1;False
2023-01-30;0;78;0;0;1;False
2023-01-31;0;82;0;0;1;False
