date;Resident Evil;microsoft;ellen degeneres;Pornography;air travel;isPartial
2022-01-02;11;79;1;1;3;False
2022-01-09;9;87;1;2;3;False
2022-01-16;7;93;1;1;2;False
2022-01-23;7;90;1;2;3;False
2022-01-30;7;97;1;2;3;False
2022-02-06;7;83;1;2;3;False
2022-02-13;7;76;1;1;3;False
2022-02-20;6;76;1;1;3;False
2022-02-27;6;78;1;1;3;False
2022-03-06;5;82;1;1;3;False
2022-03-13;6;80;1;1;3;False
2022-03-20;6;79;1;1;3;False
2022-03-27;6;72;1;1;3;False
2022-04-03;6;73;1;1;3;False
2022-04-10;6;60;1;1;2;False
2022-04-17;5;55;1;1;2;False
2022-04-24;5;74;1;2;3;False
2022-05-01;6;75;1;2;3;False
2022-05-08;6;77;1;1;3;False
2022-05-15;6;74;1;1;3;False
2022-05-22;5;72;3;1;3;False
2022-05-29;8;51;2;1;3;False
2022-06-05;8;73;1;1;3;False
2022-06-12;9;74;1;1;3;False
2022-06-19;9;67;1;1;2;False
2022-06-26;9;67;1;1;3;False
2022-07-03;8;70;1;1;3;False
2022-07-10;26;72;0;1;3;False
2022-07-17;36;70;0;1;3;False
2022-07-24;17;65;1;1;3;False
2022-07-31;11;59;1;1;2;False
2022-08-07;9;67;4;1;2;False
2022-08-14;8;61;2;1;2;False
2022-08-21;8;68;1;1;2;False
2022-08-28;8;67;1;1;2;False
2022-09-04;6;77;1;1;2;False
2022-09-11;7;86;1;1;2;False
2022-09-18;6;77;1;1;2;False
2022-09-25;5;88;1;1;2;False
2022-10-02;6;83;0;1;2;False
2022-10-09;6;84;1;1;2;False
2022-10-16;9;79;1;1;2;False
2022-10-23;10;75;1;1;2;False
2022-10-30;10;78;1;1;2;False
2022-11-06;7;83;0;1;2;False
2022-11-13;6;80;1;1;1;False
2022-11-20;6;76;0;1;2;False
2022-11-27;6;76;0;1;2;False
2022-12-04;6;73;0;1;2;False
2022-12-11;6;71;6;1;2;False
2022-12-18;7;61;2;1;1;False
2022-12-25;9;51;1;1;2;False
2023-01-01;8;70;1;1;2;False
2023-01-08;7;84;1;1;2;False
2023-01-15;7;88;1;1;2;False
2023-01-22;7;100;1;1;2;False
2023-01-29;7;91;1;1;2;False
