date;Matildas;Women's hair;Doja Cat;Atlanta;air travel;isPartial
2022-01-02;1;9;38;55;27;False
2022-01-09;1;8;42;61;31;False
2022-01-16;0;11;32;56;23;False
2022-01-23;1;11;34;55;26;False
2022-01-30;1;11;39;53;29;False
2022-02-06;1;10;35;51;29;False
2022-02-13;1;9;35;58;29;False
2022-02-20;3;10;39;60;30;False
2022-02-27;2;9;41;55;26;False
2022-03-06;2;10;41;56;27;False
2022-03-13;0;9;40;65;27;False
2022-03-20;1;9;69;74;27;False
2022-03-27;0;9;61;74;28;False
2022-04-03;1;8;68;73;26;False
2022-04-10;1;8;39;76;22;False
2022-04-17;1;9;41;67;25;False
2022-04-24;1;7;35;67;26;False
2022-05-01;1;9;43;69;26;False
2022-05-08;1;9;38;67;27;False
2022-05-15;1;9;38;72;28;False
2022-05-22;1;8;33;61;27;False
2022-05-29;0;9;40;64;27;False
2022-06-05;1;10;38;64;30;False
2022-06-12;1;10;36;62;26;False
2022-06-19;1;10;36;63;25;False
2022-06-26;1;9;33;70;26;False
2022-07-03;1;9;100;79;28;False
2022-07-10;0;10;93;79;29;False
2022-07-17;1;10;44;76;27;False
2022-07-24;1;11;40;89;27;False
2022-07-31;1;11;46;72;25;False
2022-08-07;1;9;49;72;24;False
2022-08-14;1;8;33;61;23;False
2022-08-21;0;8;37;67;20;False
2022-08-28;1;10;29;71;22;False
2022-09-04;1;11;21;67;24;False
2022-09-11;1;9;26;74;21;False
2022-09-18;1;9;23;65;21;False
2022-09-25;1;9;22;70;21;False
2022-10-02;1;10;24;70;20;False
2022-10-09;1;11;18;70;19;False
2022-10-16;1;13;21;62;17;False
2022-10-23;1;13;62;64;16;False
2022-10-30;1;12;21;62;16;False
2022-11-06;1;12;24;70;18;False
2022-11-13;1;13;21;62;15;False
2022-11-20;1;14;13;57;19;False
2022-11-27;1;14;16;59;18;False
2022-12-04;1;12;14;57;16;False
2022-12-11;1;13;14;58;16;False
2022-12-18;1;10;17;65;15;False
2022-12-25;1;10;18;66;20;False
2023-01-01;1;10;16;76;23;False
2023-01-08;1;10;15;73;21;False
2023-01-15;1;9;13;71;21;False
2023-01-22;1;9;77;72;19;False
2023-01-29;1;9;24;67;21;False
