date;Travelling solo;Carabao Cup;Essays;Boston;air travel;isPartial
2023-01-01;0;1;1;15;1;False
2023-01-02;0;1;1;17;2;False
2023-01-03;0;2;1;14;1;False
2023-01-04;0;2;1;14;2;False
2023-01-05;0;2;1;14;1;False
2023-01-06;0;4;1;16;1;False
2023-01-07;0;5;1;15;1;False
2023-01-08;0;6;1;15;1;False
2023-01-09;0;6;1;14;1;False
2023-01-10;0;46;1;15;1;False
2023-01-11;0;100;1;14;2;False
2023-01-12;0;40;1;15;1;False
2023-01-13;0;8;1;14;1;False
2023-01-14;0;5;1;15;1;False
2023-01-15;0;5;1;16;1;False
2023-01-16;0;4;1;16;1;False
2023-01-17;0;4;1;16;1;False
2023-01-18;0;3;1;15;1;False
2023-01-19;0;2;1;15;1;False
2023-01-20;0;2;1;15;1;False
2023-01-21;0;2;1;18;1;False
2023-01-22;0;3;1;15;1;False
2023-01-23;0;4;1;16;1;False
2023-01-24;0;25;1;14;1;False
2023-01-25;0;35;1;15;1;False
2023-01-26;0;14;1;13;1;False
2023-01-27;0;6;1;15;1;False
2023-01-28;0;5;1;15;1;False
2023-01-29;0;5;1;14;1;False
2023-01-30;0;5;1;16;2;False
2023-01-31;0;33;1;15;1;False
