date;Ethical holidays;Leonardo DiCaprio;Minnesota Timberwolves;Nestlé;air travel;isPartial
2022-01-02;0;71;1;1;19;False
2022-01-09;0;50;1;1;20;False
2022-01-16;0;37;1;1;16;False
2022-01-23;0;33;1;1;18;False
2022-01-30;0;30;1;1;20;False
2022-02-06;0;29;2;1;20;False
2022-02-13;0;27;1;1;20;False
2022-02-20;0;27;1;1;20;False
2022-02-27;0;25;1;1;18;False
2022-03-06;0;37;1;1;19;False
2022-03-13;0;24;1;2;19;False
2022-03-20;0;21;0;2;18;False
2022-03-27;0;36;1;1;19;False
2022-04-03;0;34;1;1;18;False
2022-04-10;0;26;2;1;15;False
2022-04-17;0;24;2;2;17;False
2022-04-24;0;34;2;1;18;False
2022-05-01;0;26;0;1;18;False
2022-05-08;0;25;0;1;19;False
2022-05-15;0;29;0;1;19;False
2022-05-22;0;33;0;0;18;False
2022-05-29;0;27;0;1;19;False
2022-06-05;0;26;0;1;21;False
2022-06-12;0;29;0;1;18;False
2022-06-19;0;23;1;1;17;False
2022-06-26;0;21;1;1;18;False
2022-07-03;0;21;0;1;19;False
2022-07-10;0;19;0;1;20;False
2022-07-17;1;23;1;1;19;False
2022-07-24;0;22;0;1;19;False
2022-07-31;0;24;0;1;17;False
2022-08-07;0;22;0;1;16;False
2022-08-14;0;21;0;1;16;False
2022-08-21;0;20;0;1;14;False
2022-08-28;0;100;0;2;15;False
2022-09-04;0;63;0;1;17;False
2022-09-11;0;47;0;0;14;False
2022-09-18;0;33;0;1;14;False
2022-09-25;0;30;0;1;14;False
2022-10-02;0;26;0;1;14;False
2022-10-09;0;23;0;1;13;False
2022-10-16;0;20;1;1;12;False
2022-10-23;0;22;1;1;11;False
2022-10-30;0;18;1;1;11;False
2022-11-06;0;22;0;1;12;False
2022-11-13;0;22;0;1;10;False
2022-11-20;0;23;1;1;13;False
2022-11-27;0;26;1;1;13;False
2022-12-04;0;22;1;1;11;False
2022-12-11;0;20;0;1;11;False
2022-12-18;0;27;0;1;10;False
2022-12-25;0;35;0;0;14;False
2023-01-01;0;32;0;0;16;False
2023-01-08;0;28;0;1;15;False
2023-01-15;0;27;0;1;14;False
2023-01-22;0;19;1;1;13;False
2023-01-29;0;24;1;1;14;False
