date;Child protection;alaska;Court of justice of the European Union;Football Australia;air travel;isPartial
2022-01-02;17;70;0;9;32;False
2022-01-09;22;61;0;6;35;False
2022-01-16;22;63;0;7;28;False
2022-01-23;23;61;0;6;30;False
2022-01-30;23;61;0;7;34;False
2022-02-06;23;59;1;3;34;False
2022-02-13;21;75;0;4;34;False
2022-02-20;23;73;0;5;35;False
2022-02-27;21;74;0;4;31;False
2022-03-06;22;65;0;5;33;False
2022-03-13;21;100;0;3;32;False
2022-03-20;23;62;0;11;32;False
2022-03-27;21;59;1;9;33;False
2022-04-03;18;56;0;6;31;False
2022-04-10;17;52;1;5;26;False
2022-04-17;19;54;0;4;29;False
2022-04-24;22;49;0;4;30;False
2022-05-01;21;52;0;3;31;False
2022-05-08;23;53;0;3;32;False
2022-05-15;20;52;1;3;33;False
2022-05-22;22;64;1;4;32;False
2022-05-29;16;90;1;5;32;False
2022-06-05;18;75;0;13;36;False
2022-06-12;17;62;0;26;31;False
2022-06-19;20;59;0;3;29;False
2022-06-26;19;65;0;4;31;False
2022-07-03;19;74;0;7;33;False
2022-07-10;19;62;0;6;34;False
2022-07-17;18;64;0;4;33;False
2022-07-24;15;58;0;5;32;False
2022-07-31;15;54;1;8;29;False
2022-08-07;13;62;1;5;28;False
2022-08-14;14;65;0;3;28;False
2022-08-21;18;61;0;4;24;False
2022-08-28;22;71;0;6;27;False
2022-09-04;25;58;0;5;29;False
2022-09-11;24;56;0;5;25;False
2022-09-18;21;73;0;8;24;False
2022-09-25;21;75;0;9;25;False
2022-10-02;22;68;2;7;23;False
2022-10-09;23;65;0;9;23;False
2022-10-16;22;60;0;6;21;False
2022-10-23;18;58;1;8;19;False
2022-10-30;21;55;0;8;19;False
2022-11-06;24;70;1;10;21;False
2022-11-13;23;60;0;15;18;False
2022-11-20;20;58;1;99;22;False
2022-11-27;20;64;1;72;22;False
2022-12-04;19;55;0;15;19;False
2022-12-11;18;58;0;7;19;False
2022-12-18;12;75;1;8;18;False
2022-12-25;9;79;0;6;24;False
2023-01-01;16;81;0;5;28;False
2023-01-08;18;71;0;6;25;False
2023-01-15;22;72;0;5;25;False
2023-01-22;20;66;0;5;23;False
2023-01-29;21;67;0;6;25;False
