date;Hilary Mantel;Northampton;Ottessa Moshfegh;Wada;air travel;isPartial
2022-01-02;0;84;0;0;5;False
2022-01-09;0;79;0;0;6;False
2022-01-16;0;76;0;0;4;False
2022-01-23;0;80;0;0;5;False
2022-01-30;0;85;0;1;5;False
2022-02-06;0;85;0;1;5;False
2022-02-13;1;82;0;1;5;False
2022-02-20;0;81;0;0;6;False
2022-02-27;0;82;0;0;5;False
2022-03-06;0;80;0;0;5;False
2022-03-13;0;80;0;1;5;False
2022-03-20;0;84;0;1;5;False
2022-03-27;0;81;0;0;5;False
2022-04-03;1;86;0;1;5;False
2022-04-10;0;84;0;1;4;False
2022-04-17;0;81;0;1;5;False
2022-04-24;0;83;0;0;5;False
2022-05-01;0;100;0;0;5;False
2022-05-08;0;82;0;0;5;False
2022-05-15;0;89;0;1;5;False
2022-05-22;0;84;0;0;5;False
2022-05-29;0;88;0;0;5;False
2022-06-05;0;87;0;0;6;False
2022-06-12;1;88;0;0;5;False
2022-06-19;0;78;0;0;5;False
2022-06-26;0;87;0;1;5;False
2022-07-03;0;81;0;1;5;False
2022-07-10;0;82;0;0;5;False
2022-07-17;0;90;0;0;5;False
2022-07-24;0;87;0;0;5;False
2022-07-31;0;89;0;0;5;False
2022-08-07;0;85;0;0;4;False
2022-08-14;0;87;0;0;4;False
2022-08-21;0;87;0;0;4;False
2022-08-28;0;86;0;0;4;False
2022-09-04;0;87;0;1;5;False
2022-09-11;0;89;0;0;4;False
2022-09-18;32;84;0;0;4;False
2022-09-25;8;92;0;0;4;False
2022-10-02;2;86;0;0;4;False
2022-10-09;1;88;0;0;4;False
2022-10-16;1;84;0;1;3;False
2022-10-23;1;88;0;0;3;False
2022-10-30;0;82;0;0;3;False
2022-11-06;1;83;0;0;3;False
2022-11-13;1;81;0;1;3;False
2022-11-20;1;77;0;0;4;False
2022-11-27;0;77;0;1;3;False
2022-12-04;0;72;0;0;3;False
2022-12-11;0;83;0;0;3;False
2022-12-18;1;80;0;0;3;False
2022-12-25;3;82;0;0;4;False
2023-01-01;1;88;0;0;4;False
2023-01-08;1;80;0;0;4;False
2023-01-15;1;84;0;0;4;False
2023-01-22;0;80;0;1;4;False
2023-01-29;0;79;0;1;4;False
