date;National Theatre;hong kong;John Akomfrah;William Byrd;air travel;isPartial
2022-01-02;12;57;0;0;11;False
2022-01-09;14;54;0;0;12;False
2022-01-16;14;51;0;0;9;False
2022-01-23;14;55;0;0;10;False
2022-01-30;14;50;0;1;11;False
2022-02-06;14;48;0;0;11;False
2022-02-13;15;53;0;0;11;False
2022-02-20;15;59;0;0;12;False
2022-02-27;16;55;0;0;10;False
2022-03-06;15;56;0;0;11;False
2022-03-13;14;61;0;0;11;False
2022-03-20;14;56;0;0;10;False
2022-03-27;15;55;0;0;11;False
2022-04-03;13;52;0;0;10;False
2022-04-10;13;51;0;0;9;False
2022-04-17;15;0;0;0;10;False
2022-04-24;14;0;0;0;10;False
2022-05-01;14;55;0;0;10;False
2022-05-08;14;51;0;0;11;False
2022-05-15;13;52;0;0;11;False
2022-05-22;15;47;0;0;11;False
2022-05-29;12;52;0;0;11;False
2022-06-05;15;50;0;0;12;False
2022-06-12;12;54;0;0;10;False
2022-06-19;10;60;0;0;10;False
2022-06-26;10;59;0;1;10;False
2022-07-03;11;53;0;0;11;False
2022-07-10;13;54;0;0;11;False
2022-07-17;16;0;0;0;11;False
2022-07-24;18;64;0;0;11;False
2022-07-31;14;67;0;0;10;False
2022-08-07;15;60;0;0;9;False
2022-08-14;13;0;0;0;9;False
2022-08-21;15;51;0;0;8;False
2022-08-28;14;100;0;0;9;False
2022-09-04;15;51;0;0;10;False
2022-09-11;14;55;0;0;8;False
2022-09-18;14;56;0;0;8;False
2022-09-25;16;59;0;0;8;False
2022-10-02;17;74;0;0;8;False
2022-10-09;17;63;0;0;7;False
2022-10-16;16;53;0;0;7;False
2022-10-23;15;54;0;0;6;False
2022-10-30;17;58;0;0;6;False
2022-11-06;15;60;0;0;7;False
2022-11-13;13;63;0;0;6;False
2022-11-20;13;58;0;0;7;False
2022-11-27;15;64;0;0;7;False
2022-12-04;16;52;0;0;6;False
2022-12-11;14;55;0;0;6;False
2022-12-18;14;0;0;0;6;False
2022-12-25;14;58;0;0;8;False
2023-01-01;17;60;0;0;9;False
2023-01-08;18;60;0;0;8;False
2023-01-15;16;61;0;0;8;False
2023-01-22;17;59;0;0;8;False
2023-01-29;16;72;0;0;8;False
