date;Houston Texans;Prue Leith;Ghana;Spiders;air travel;isPartial
2022-01-02;0;1;14;6;3;False
2022-01-09;0;1;20;5;4;False
2022-01-16;0;0;18;5;3;False
2022-01-23;0;0;13;6;3;False
2022-01-30;0;0;12;6;4;False
2022-02-06;0;0;13;5;4;False
2022-02-13;0;0;11;4;4;False
2022-02-20;0;0;12;5;4;False
2022-02-27;0;0;13;5;3;False
2022-03-06;0;0;13;6;3;False
2022-03-13;0;0;11;6;3;False
2022-03-20;0;1;37;8;3;False
2022-03-27;0;0;34;7;3;False
2022-04-03;0;1;12;6;3;False
2022-04-10;0;1;12;8;3;False
2022-04-17;0;1;11;8;3;False
2022-04-24;0;0;10;8;3;False
2022-05-01;0;0;11;9;3;False
2022-05-08;0;0;12;9;3;False
2022-05-15;0;0;11;10;3;False
2022-05-22;0;0;11;10;3;False
2022-05-29;0;0;13;10;3;False
2022-06-05;0;0;14;9;4;False
2022-06-12;0;0;13;13;3;False
2022-06-19;0;0;12;12;3;False
2022-06-26;0;1;12;10;3;False
2022-07-03;0;0;14;10;3;False
2022-07-10;0;0;14;12;4;False
2022-07-17;0;0;14;14;3;False
2022-07-24;0;0;13;12;3;False
2022-07-31;0;0;13;12;3;False
2022-08-07;0;0;13;16;3;False
2022-08-14;0;0;11;17;3;False
2022-08-21;0;0;11;19;3;False
2022-08-28;0;0;12;21;3;False
2022-09-04;0;0;12;17;3;False
2022-09-11;0;1;13;16;3;False
2022-09-18;0;1;19;14;3;False
2022-09-25;0;2;14;12;3;False
2022-10-02;0;3;12;12;2;False
2022-10-09;0;2;12;11;2;False
2022-10-16;0;1;12;11;2;False
2022-10-23;0;1;13;11;2;False
2022-10-30;0;1;13;8;2;False
2022-11-06;0;1;14;8;2;False
2022-11-13;0;1;21;6;2;False
2022-11-20;0;0;100;6;2;False
2022-11-27;0;0;98;5;2;False
2022-12-04;0;0;16;5;2;False
2022-12-11;0;1;13;6;2;False
2022-12-18;0;1;13;6;2;False
2022-12-25;0;1;12;5;2;False
2023-01-01;0;1;14;6;3;False
2023-01-08;0;0;12;5;3;False
2023-01-15;0;0;14;5;3;False
2023-01-22;0;0;14;5;2;False
2023-01-29;0;1;12;5;3;False
