date;Legal aid;pfizer-biontech vaccine;Magnum;Teaching;air travel;isPartial
2022-01-02;8;0;21;93;9;False
2022-01-09;9;0;20;97;11;False
2022-01-16;9;0;18;90;8;False
2022-01-23;9;0;20;99;9;False
2022-01-30;10;0;18;97;10;False
2022-02-06;8;0;17;87;10;False
2022-02-13;8;0;18;74;10;False
2022-02-20;8;0;19;83;10;False
2022-02-27;8;0;19;93;9;False
2022-03-06;8;0;19;97;9;False
2022-03-13;8;0;18;95;9;False
2022-03-20;8;0;21;92;9;False
2022-03-27;8;0;20;90;10;False
2022-04-03;8;0;19;78;9;False
2022-04-10;7;0;23;58;8;False
2022-04-17;7;0;20;72;8;False
2022-04-24;9;0;20;88;9;False
2022-05-01;8;0;23;90;9;False
2022-05-08;8;0;29;95;9;False
2022-05-15;9;0;23;100;10;False
2022-05-22;7;0;21;92;9;False
2022-05-29;5;0;23;52;9;False
2022-06-05;8;0;21;84;10;False
2022-06-12;9;0;26;81;9;False
2022-06-19;8;0;24;82;8;False
2022-06-26;10;0;22;80;9;False
2022-07-03;8;0;22;73;9;False
2022-07-10;7;0;26;70;10;False
2022-07-17;7;0;26;66;9;False
2022-07-24;7;0;24;48;9;False
2022-07-31;9;0;22;43;8;False
2022-08-07;8;0;31;45;8;False
2022-08-14;7;0;22;48;8;False
2022-08-21;9;0;21;53;7;False
2022-08-28;7;0;24;65;8;False
2022-09-04;8;0;18;85;8;False
2022-09-11;8;0;21;91;7;False
2022-09-18;6;0;18;81;7;False
2022-09-25;8;0;18;86;7;False
2022-10-02;8;0;16;89;7;False
2022-10-09;9;0;19;77;7;False
2022-10-16;7;0;17;82;6;False
2022-10-23;7;0;17;66;5;False
2022-10-30;7;0;17;80;5;False
2022-11-06;8;0;15;80;6;False
2022-11-13;8;0;16;89;5;False
2022-11-20;8;0;16;75;6;False
2022-11-27;8;0;16;78;6;False
2022-12-04;7;0;16;67;5;False
2022-12-11;7;0;19;60;5;False
2022-12-18;6;0;17;41;5;False
2022-12-25;3;0;17;39;7;False
2023-01-01;7;0;15;79;8;False
2023-01-08;8;0;16;91;7;False
2023-01-15;9;0;16;97;7;False
2023-01-22;9;0;16;93;7;False
2023-01-29;9;0;16;100;7;False
