date;brexit;Grenfell Tower fire;Borrowing & debt;Lifestyle;air travel;isPartial
2023-01-01;33;1;0;50;12;False
2023-01-02;58;0;0;62;15;False
2023-01-03;46;0;0;56;10;False
2023-01-04;49;0;0;51;14;False
2023-01-05;50;0;0;50;12;False
2023-01-06;43;1;0;55;12;False
2023-01-07;37;0;0;57;9;False
2023-01-08;39;1;0;59;14;False
2023-01-09;38;0;0;53;8;False
2023-01-10;45;0;0;56;13;False
2023-01-11;45;1;0;51;15;False
2023-01-12;52;0;0;56;12;False
2023-01-13;40;0;0;43;10;False
2023-01-14;36;2;0;45;9;False
2023-01-15;31;0;0;44;11;False
2023-01-16;35;1;0;47;11;False
2023-01-17;52;2;0;41;9;False
2023-01-18;46;1;0;50;13;False
2023-01-19;49;3;0;47;12;False
2023-01-20;44;1;0;45;10;False
2023-01-21;31;0;0;37;10;False
2023-01-22;32;0;0;45;11;False
2023-01-23;40;0;0;52;12;False
2023-01-24;42;1;0;47;9;False
2023-01-25;39;1;0;46;12;False
2023-01-26;44;0;0;48;11;False
2023-01-27;44;0;0;43;8;False
2023-01-28;33;2;0;39;11;False
2023-01-29;39;0;0;42;10;False
2023-01-30;54;0;0;49;16;False
2023-01-31;100;1;0;47;14;False
