date;Plymouth shooting;History of science;Nagorno-Karabakh;Rowing;air travel;isPartial
2022-01-02;0;2;1;74;27;False
2022-01-09;1;2;0;72;30;False
2022-01-16;0;2;0;67;23;False
2022-01-23;1;3;1;71;26;False
2022-01-30;1;2;0;76;29;False
2022-02-06;3;3;0;67;29;False
2022-02-13;1;3;0;58;29;False
2022-02-20;1;3;0;62;30;False
2022-02-27;1;3;1;100;26;False
2022-03-06;1;3;0;68;27;False
2022-03-13;1;3;1;68;27;False
2022-03-20;0;1;1;64;27;False
2022-03-27;0;1;1;65;28;False
2022-04-03;1;2;0;76;26;False
2022-04-10;1;3;0;59;22;False
2022-04-17;1;2;0;63;25;False
2022-04-24;0;2;0;64;26;False
2022-05-01;1;2;0;68;26;False
2022-05-08;0;3;1;66;27;False
2022-05-15;1;2;0;70;28;False
2022-05-22;2;1;0;69;27;False
2022-05-29;2;2;0;65;27;False
2022-06-05;1;2;0;70;30;False
2022-06-12;0;3;0;71;27;False
2022-06-19;1;3;0;68;25;False
2022-06-26;0;1;0;76;27;False
2022-07-03;1;2;0;69;28;False
2022-07-10;0;2;0;76;29;False
2022-07-17;0;3;0;60;28;False
2022-07-24;1;3;0;68;27;False
2022-07-31;1;2;1;67;25;False
2022-08-07;4;2;1;88;24;False
2022-08-14;1;1;0;73;23;False
2022-08-21;1;2;0;57;20;False
2022-08-28;1;3;0;60;22;False
2022-09-04;1;2;0;57;24;False
2022-09-11;1;3;2;54;21;False
2022-09-18;0;2;0;65;20;False
2022-09-25;1;2;0;63;21;False
2022-10-02;1;3;1;59;20;False
2022-10-09;0;2;0;57;19;False
2022-10-16;1;2;0;48;17;False
2022-10-23;1;3;0;50;16;False
2022-10-30;1;3;1;56;16;False
2022-11-06;0;2;0;60;18;False
2022-11-13;1;2;0;57;15;False
2022-11-20;0;2;0;51;19;False
2022-11-27;0;2;0;48;18;False
2022-12-04;1;2;0;43;16;False
2022-12-11;1;2;0;42;16;False
2022-12-18;1;2;0;40;15;False
2022-12-25;1;1;0;46;20;False
2023-01-01;0;3;0;58;23;False
2023-01-08;1;3;0;61;22;False
2023-01-15;4;3;0;61;21;False
2023-01-22;1;3;0;56;19;False
2023-01-29;2;3;0;57;21;False
