date;Nato;Private schools;Men;Windermere;air travel;isPartial
2022-01-02;0;1;74;5;1;False
2022-01-09;0;1;72;4;1;False
2022-01-16;0;1;66;3;1;False
2022-01-23;0;1;72;4;1;False
2022-01-30;0;1;73;4;1;False
2022-02-06;0;1;69;4;1;False
2022-02-13;0;1;68;4;1;False
2022-02-20;0;1;72;4;1;False
2022-02-27;0;1;68;3;1;False
2022-03-06;0;1;72;3;1;False
2022-03-13;0;1;67;3;1;False
2022-03-20;0;1;70;4;1;False
2022-03-27;0;1;68;4;1;False
2022-04-03;6;1;68;4;1;False
2022-04-10;7;1;73;5;1;False
2022-04-17;5;1;73;4;1;False
2022-04-24;6;1;72;4;1;False
2022-05-01;5;1;76;4;1;False
2022-05-08;9;1;73;4;1;False
2022-05-15;11;1;74;4;1;False
2022-05-22;3;1;73;4;1;False
2022-05-29;3;1;78;5;1;False
2022-06-05;3;1;90;4;1;False
2022-06-12;3;1;77;4;1;False
2022-06-19;4;1;72;4;1;False
2022-06-26;7;1;79;4;1;False
2022-07-03;3;1;77;5;1;False
2022-07-10;2;1;78;5;1;False
2022-07-17;2;1;71;5;1;False
2022-07-24;2;1;79;5;1;False
2022-07-31;2;1;73;5;1;False
2022-08-07;2;1;71;6;1;False
2022-08-14;2;1;66;5;1;False
2022-08-21;2;1;68;5;1;False
2022-08-28;2;1;71;5;1;False
2022-09-04;2;1;67;4;1;False
2022-09-11;2;1;70;4;1;False
2022-09-18;3;1;76;4;1;False
2022-09-25;4;1;71;4;1;False
2022-10-02;4;1;75;3;1;False
2022-10-09;4;1;76;3;1;False
2022-10-16;3;1;73;3;1;False
2022-10-23;2;1;78;4;1;False
2022-10-30;2;1;84;3;1;False
2022-11-06;2;1;82;3;1;False
2022-11-13;16;1;90;3;1;False
2022-11-20;2;1;90;2;1;False
2022-11-27;2;2;94;2;1;False
2022-12-04;2;1;96;2;1;False
2022-12-11;2;1;100;2;1;False
2022-12-18;2;1;85;2;1;False
2022-12-25;2;1;87;3;1;False
2023-01-01;2;1;71;3;1;False
2023-01-08;2;1;70;3;1;False
2023-01-15;2;1;72;3;1;False
2023-01-22;3;1;74;3;1;False
2023-01-29;3;1;74;3;1;False
