date;Ed Sheeran;Venice;Technology sector;Pedro Pascal;air travel;isPartial
2023-01-01;51;80;0;6;11;False
2023-01-02;32;78;2;3;13;False
2023-01-03;24;75;0;3;8;False
2023-01-04;27;72;0;4;13;False
2023-01-05;31;65;1;3;10;False
2023-01-06;31;100;0;3;10;False
2023-01-07;38;88;1;8;8;False
2023-01-08;30;100;0;6;12;False
2023-01-09;27;82;0;6;7;False
2023-01-10;24;76;0;9;11;False
2023-01-11;33;77;0;8;13;False
2023-01-12;32;68;1;8;11;False
2023-01-13;33;65;1;11;8;False
2023-01-14;25;84;1;10;8;False
2023-01-15;29;85;0;11;9;False
2023-01-16;28;73;0;51;10;False
2023-01-17;33;68;0;52;8;False
2023-01-18;30;66;0;60;11;False
2023-01-19;41;62;2;43;10;False
2023-01-20;74;68;1;38;8;False
2023-01-21;79;80;0;43;9;False
2023-01-22;39;93;2;35;10;False
2023-01-23;32;80;0;38;10;False
2023-01-24;31;64;1;47;8;False
2023-01-25;30;69;0;39;11;False
2023-01-26;30;58;1;37;10;False
2023-01-27;37;67;0;35;7;False
2023-01-28;37;74;2;38;9;False
2023-01-29;31;77;0;41;9;False
2023-01-30;24;68;0;50;14;False
2023-01-31;29;67;0;52;12;False
