date;OpenAI;Unai Emery;dorset;Australia women's cricket team;air travel;isPartial
2022-01-02;0;0;69;0;6;False
2022-01-09;0;0;74;0;7;False
2022-01-16;0;0;65;0;5;False
2022-01-23;0;0;73;0;6;False
2022-01-30;0;0;76;0;7;False
2022-02-06;0;0;74;0;7;False
2022-02-13;0;0;80;0;7;False
2022-02-20;0;1;68;0;7;False
2022-02-27;0;0;69;0;6;False
2022-03-06;0;0;68;0;6;False
2022-03-13;0;1;71;0;6;False
2022-03-20;0;0;73;0;6;False
2022-03-27;0;0;71;0;7;False
2022-04-03;1;1;73;0;6;False
2022-04-10;0;3;74;0;5;False
2022-04-17;1;0;73;0;6;False
2022-04-24;1;2;71;0;6;False
2022-05-01;1;2;83;0;6;False
2022-05-08;1;0;75;0;6;False
2022-05-15;1;0;76;0;7;False
2022-05-22;1;0;73;0;6;False
2022-05-29;0;0;90;0;6;False
2022-06-05;1;0;81;0;7;False
2022-06-12;1;0;76;0;6;False
2022-06-19;2;0;77;0;6;False
2022-06-26;1;0;74;0;6;False
2022-07-03;1;0;86;0;7;False
2022-07-10;1;0;85;0;7;False
2022-07-17;1;0;79;0;6;False
2022-07-24;1;0;96;0;6;False
2022-07-31;1;1;96;0;6;False
2022-08-07;1;0;99;0;6;False
2022-08-14;1;0;89;0;5;False
2022-08-21;1;0;100;0;5;False
2022-08-28;1;0;92;0;5;False
2022-09-04;1;1;72;0;6;False
2022-09-11;1;0;67;0;5;False
2022-09-18;1;0;57;0;5;False
2022-09-25;1;0;61;0;5;False
2022-10-02;1;0;64;0;5;False
2022-10-09;1;0;60;0;4;False
2022-10-16;1;1;66;0;4;False
2022-10-23;1;19;63;0;4;False
2022-10-30;1;5;62;0;4;False
2022-11-06;1;5;59;0;4;False
2022-11-13;2;1;59;0;4;False
2022-11-20;1;0;51;0;4;False
2022-11-27;6;0;54;0;4;False
2022-12-04;20;0;47;0;4;False
2022-12-11;17;0;50;0;4;False
2022-12-18;11;1;50;0;4;False
2022-12-25;8;2;59;0;5;False
2023-01-01;14;2;65;0;5;False
2023-01-08;18;2;64;0;5;False
2023-01-15;16;1;65;0;5;False
2023-01-22;18;1;62;0;5;False
2023-01-29;18;1;68;0;5;False
