date;China;Australian books;Pinterest;Global economy;air travel;isPartial
2023-01-01;100;0;36;0;3;False
2023-01-02;81;0;38;0;4;False
2023-01-03;76;0;36;0;3;False
2023-01-04;73;0;35;1;4;False
2023-01-05;77;0;34;1;3;False
2023-01-06;79;0;35;1;3;False
2023-01-07;72;0;33;0;2;False
2023-01-08;71;0;38;1;4;False
2023-01-09;72;1;36;1;2;False
2023-01-10;66;1;38;1;3;False
2023-01-11;67;0;39;0;4;False
2023-01-12;74;0;38;1;3;False
2023-01-13;80;0;33;0;3;False
2023-01-14;84;0;34;0;2;False
2023-01-15;74;0;38;0;3;False
2023-01-16;70;0;35;1;3;False
2023-01-17;73;0;34;0;2;False
2023-01-18;74;0;37;0;4;False
2023-01-19;75;0;29;0;3;False
2023-01-20;83;0;36;1;3;False
2023-01-21;83;0;33;0;3;False
2023-01-22;88;0;35;1;3;False
2023-01-23;80;0;35;1;3;False
2023-01-24;76;0;35;0;2;False
2023-01-25;73;0;36;0;3;False
2023-01-26;64;0;35;1;3;False
2023-01-27;75;0;33;0;2;False
2023-01-28;70;0;31;0;3;False
2023-01-29;69;0;34;0;3;False
2023-01-30;73;0;36;0;4;False
2023-01-31;66;0;35;1;4;False
