date;Robert De Niro;Scams;Allergies;Espionage;air travel;isPartial
2022-01-02;34;47;56;8;47;False
2022-01-09;29;48;55;9;54;False
2022-01-16;24;48;61;9;40;False
2022-01-23;23;57;56;10;44;False
2022-01-30;25;56;58;9;50;False
2022-02-06;24;57;56;9;50;False
2022-02-13;25;56;52;8;50;False
2022-02-20;27;52;54;9;51;False
2022-02-27;31;45;54;9;45;False
2022-03-06;32;55;57;7;47;False
2022-03-13;31;54;54;7;47;False
2022-03-20;27;52;65;8;46;False
2022-03-27;38;52;61;10;48;False
2022-04-03;30;54;57;5;44;False
2022-04-10;32;49;63;7;38;False
2022-04-17;26;56;68;8;43;False
2022-04-24;27;66;61;7;44;False
2022-05-01;32;45;67;6;45;False
2022-05-08;21;55;67;7;46;False
2022-05-15;25;55;65;9;48;False
2022-05-22;36;55;61;5;46;False
2022-05-29;26;47;71;5;47;False
2022-06-05;29;53;81;7;52;False
2022-06-12;26;59;100;10;45;False
2022-06-19;24;56;82;13;42;False
2022-06-26;23;57;68;9;45;False
2022-07-03;27;50;63;6;48;False
2022-07-10;28;56;64;5;49;False
2022-07-17;24;52;56;5;47;False
2022-07-24;26;52;55;9;47;False
2022-07-31;24;52;52;10;42;False
2022-08-07;24;53;56;47;41;False
2022-08-14;32;48;52;11;40;False
2022-08-21;29;57;56;8;35;False
2022-08-28;24;49;55;6;38;False
2022-09-04;25;54;54;7;41;False
2022-09-11;26;52;60;6;36;False
2022-09-18;29;55;61;8;35;False
2022-09-25;24;61;61;7;35;False
2022-10-02;25;55;58;10;34;False
2022-10-09;31;54;58;6;33;False
2022-10-16;24;54;54;8;30;False
2022-10-23;27;50;54;6;28;False
2022-10-30;23;47;54;8;27;False
2022-11-06;25;52;55;10;31;False
2022-11-13;28;59;53;6;26;False
2022-11-20;20;57;53;7;32;False
2022-11-27;25;54;51;7;32;False
2022-12-04;21;49;45;11;27;False
2022-12-11;19;55;44;6;28;False
2022-12-18;61;47;47;10;26;False
2022-12-25;54;37;55;8;34;False
2023-01-01;32;43;51;8;40;False
2023-01-08;28;48;51;8;37;False
2023-01-15;29;52;50;9;36;False
2023-01-22;25;58;60;9;33;False
2023-01-29;27;55;57;8;36;False
