date;Princess Charlotte;Nursing;pope francis;dave;air travel;isPartial
2022-01-02;1;39;3;37;4;False
2022-01-09;1;42;1;35;4;False
2022-01-16;0;40;1;35;3;False
2022-01-23;1;41;1;37;3;False
2022-01-30;1;43;1;40;4;False
2022-02-06;1;37;1;54;4;False
2022-02-13;1;37;1;56;4;False
2022-02-20;1;40;1;51;4;False
2022-02-27;1;43;1;53;3;False
2022-03-06;1;40;1;45;4;False
2022-03-13;0;40;1;42;4;False
2022-03-20;0;42;2;50;3;False
2022-03-27;1;37;1;54;4;False
2022-04-03;1;36;1;40;3;False
2022-04-10;1;33;1;39;3;False
2022-04-17;1;33;2;36;3;False
2022-04-24;1;36;1;35;3;False
2022-05-01;4;37;1;63;3;False
2022-05-08;1;37;1;45;4;False
2022-05-15;1;37;1;34;4;False
2022-05-22;1;35;1;34;3;False
2022-05-29;6;30;1;36;4;False
2022-06-05;6;37;12;37;4;False
2022-06-12;1;33;1;35;3;False
2022-06-19;1;33;1;41;3;False
2022-06-26;1;34;1;48;3;False
2022-07-03;1;34;1;60;4;False
2022-07-10;1;35;1;38;4;False
2022-07-17;1;35;1;35;4;False
2022-07-24;0;35;2;31;4;False
2022-07-31;4;34;1;32;3;False
2022-08-07;1;34;1;33;3;False
2022-08-14;0;34;0;37;3;False
2022-08-21;1;37;1;41;3;False
2022-08-28;0;32;1;47;3;False
2022-09-04;5;33;1;45;3;False
2022-09-11;5;39;1;30;3;False
2022-09-18;28;36;1;37;3;False
2022-09-25;2;36;1;34;3;False
2022-10-02;1;40;1;32;3;False
2022-10-09;1;38;1;34;2;False
2022-10-16;1;38;1;39;2;False
2022-10-23;1;31;1;31;2;False
2022-10-30;1;34;1;32;2;False
2022-11-06;1;40;1;33;2;False
2022-11-13;1;38;1;35;2;False
2022-11-20;1;35;1;28;2;False
2022-11-27;1;37;1;26;2;False
2022-12-04;1;31;1;29;2;False
2022-12-11;1;37;2;35;2;False
2022-12-18;1;32;1;31;2;False
2022-12-25;1;25;8;35;3;False
2023-01-01;1;38;7;49;3;False
2023-01-08;1;39;1;52;3;False
2023-01-15;1;44;1;100;3;False
2023-01-22;1;39;2;81;3;False
2023-01-29;1;37;1;60;3;False
