date;Australian education;Antony Blinken;Lorde;Illinois;air travel;isPartial
2022-01-02;0;0;11;17;25;False
2022-01-09;0;0;9;17;28;False
2022-01-16;0;3;8;18;22;False
2022-01-23;0;1;11;15;24;False
2022-01-30;1;0;10;17;27;False
2022-02-06;0;0;10;17;27;False
2022-02-13;0;1;9;15;27;False
2022-02-20;0;1;10;16;28;False
2022-02-27;0;4;11;16;24;False
2022-03-06;0;5;12;15;26;False
2022-03-13;0;1;9;13;25;False
2022-03-20;0;1;11;15;25;False
2022-03-27;0;1;10;15;26;False
2022-04-03;0;0;15;15;24;False
2022-04-10;0;1;13;13;21;False
2022-04-17;0;0;13;15;23;False
2022-04-24;0;3;17;17;24;False
2022-05-01;0;0;14;19;25;False
2022-05-08;0;0;13;15;25;False
2022-05-15;0;1;12;12;26;False
2022-05-22;0;1;27;18;25;False
2022-05-29;1;0;35;14;25;False
2022-06-05;0;0;15;26;28;False
2022-06-12;0;1;17;16;25;False
2022-06-19;1;0;21;16;23;False
2022-06-26;0;0;97;19;25;False
2022-07-03;0;0;14;38;26;False
2022-07-10;0;1;10;17;27;False
2022-07-17;2;0;9;15;26;False
2022-07-24;1;0;12;18;25;False
2022-07-31;0;1;8;16;23;False
2022-08-07;0;1;7;19;22;False
2022-08-14;0;1;6;14;22;False
2022-08-21;0;0;8;15;19;False
2022-08-28;1;0;8;17;21;False
2022-09-04;0;0;6;17;23;False
2022-09-11;0;0;10;100;20;False
2022-09-18;1;1;8;22;19;False
2022-09-25;0;1;6;18;19;False
2022-10-02;0;0;7;16;18;False
2022-10-09;0;0;7;17;18;False
2022-10-16;0;1;8;18;16;False
2022-10-23;1;0;7;16;15;False
2022-10-30;0;1;7;17;15;False
2022-11-06;0;0;10;16;17;False
2022-11-13;0;0;8;17;14;False
2022-11-20;1;0;8;15;18;False
2022-11-27;0;0;7;14;17;False
2022-12-04;0;0;7;15;15;False
2022-12-11;0;0;6;16;15;False
2022-12-18;0;0;8;17;14;False
2022-12-25;0;0;6;15;18;False
2023-01-01;0;0;8;17;22;False
2023-01-08;1;0;7;15;20;False
2023-01-15;1;1;6;15;20;False
2023-01-22;0;0;8;15;18;False
2023-01-29;1;1;7;15;19;False
