date;Crystal Palace;Michael B Jordan;Jean-Bertrand Aristide;Laura Poitras;air travel;isPartial
2022-01-02;24;2;0;0;4;False
2022-01-09;26;2;0;0;4;False
2022-01-16;16;2;0;0;3;False
2022-01-23;35;2;0;0;4;False
2022-01-30;19;2;0;0;4;False
2022-02-06;18;2;0;0;4;False
2022-02-13;18;2;0;0;4;False
2022-02-20;26;1;0;0;4;False
2022-02-27;30;1;0;0;4;False
2022-03-06;14;2;0;0;4;False
2022-03-13;31;2;0;0;4;False
2022-03-20;34;1;0;0;4;False
2022-03-27;13;2;0;0;4;False
2022-04-03;47;2;0;0;4;False
2022-04-10;32;2;0;0;3;False
2022-04-17;63;1;0;0;3;False
2022-04-24;29;1;0;0;4;False
2022-05-01;19;1;0;0;4;False
2022-05-08;15;1;0;0;4;False
2022-05-15;45;1;0;0;4;False
2022-05-22;32;1;0;0;4;False
2022-05-29;14;1;0;0;4;False
2022-06-05;13;5;0;0;4;False
2022-06-12;15;2;0;0;4;False
2022-06-19;16;1;0;0;3;False
2022-06-26;25;1;0;0;4;False
2022-07-03;19;3;0;0;4;False
2022-07-10;46;2;0;0;4;False
2022-07-17;67;1;0;0;4;False
2022-07-24;21;2;0;0;4;False
2022-07-31;75;1;0;0;3;False
2022-08-07;21;1;0;0;3;False
2022-08-14;84;1;0;0;3;False
2022-08-21;46;1;0;0;3;False
2022-08-28;41;1;0;0;3;False
2022-09-04;15;1;0;0;3;False
2022-09-11;15;1;0;0;3;False
2022-09-18;12;1;0;0;3;False
2022-09-25;24;1;0;0;3;False
2022-10-02;15;1;0;0;3;False
2022-10-09;33;1;0;0;3;False
2022-10-16;37;1;0;0;2;False
2022-10-23;16;2;0;0;2;False
2022-10-30;14;2;0;0;2;False
2022-11-06;45;2;0;0;2;False
2022-11-13;12;3;0;0;2;False
2022-11-20;10;2;0;0;3;False
2022-11-27;12;2;0;0;3;False
2022-12-04;11;1;0;0;2;False
2022-12-11;12;6;0;0;2;False
2022-12-18;11;2;0;0;2;False
2022-12-25;21;7;0;0;3;False
2023-01-01;41;3;0;0;3;False
2023-01-08;14;2;0;0;3;False
2023-01-15;100;2;0;0;3;False
2023-01-22;17;2;0;0;3;False
2023-01-29;55;3;0;0;3;False
