date;The sun;Michael Douglas;Walking;Cincinnati Bengals;air travel;isPartial
2022-01-02;84;1;59;0;2;False
2022-01-09;87;1;54;0;2;False
2022-01-16;85;1;48;0;2;False
2022-01-23;81;1;51;1;2;False
2022-01-30;84;1;54;2;2;False
2022-02-06;78;1;45;1;2;False
2022-02-13;80;1;46;1;2;False
2022-02-20;88;1;54;0;2;False
2022-02-27;86;1;51;0;2;False
2022-03-06;85;1;54;0;2;False
2022-03-13;88;1;51;0;2;False
2022-03-20;85;1;55;0;2;False
2022-03-27;84;1;49;0;2;False
2022-04-03;81;1;50;0;2;False
2022-04-10;82;1;54;0;2;False
2022-04-17;79;1;55;0;2;False
2022-04-24;75;1;46;0;2;False
2022-05-01;84;1;53;0;2;False
2022-05-08;88;1;54;0;2;False
2022-05-15;82;1;52;0;2;False
2022-05-22;80;1;51;0;2;False
2022-05-29;90;1;45;0;2;False
2022-06-05;85;1;50;0;2;False
2022-06-12;88;0;45;0;2;False
2022-06-19;89;1;45;0;2;False
2022-06-26;79;1;44;0;2;False
2022-07-03;86;1;41;0;2;False
2022-07-10;100;1;43;0;2;False
2022-07-17;92;1;40;0;2;False
2022-07-24;83;1;47;0;2;False
2022-07-31;81;1;44;0;2;False
2022-08-07;90;1;44;0;2;False
2022-08-14;78;1;45;0;2;False
2022-08-21;82;1;48;0;1;False
2022-08-28;76;1;48;0;2;False
2022-09-04;86;0;46;0;2;False
2022-09-11;87;1;53;0;1;False
2022-09-18;80;1;49;0;1;False
2022-09-25;77;1;47;0;1;False
2022-10-02;74;1;52;0;1;False
2022-10-09;73;1;56;0;1;False
2022-10-16;77;1;47;0;1;False
2022-10-23;77;1;47;0;1;False
2022-10-30;74;1;49;0;1;False
2022-11-06;74;1;57;0;1;False
2022-11-13;86;1;54;0;1;False
2022-11-20;75;1;68;0;1;False
2022-11-27;70;1;52;0;1;False
2022-12-04;74;1;46;0;1;False
2022-12-11;78;1;47;0;1;False
2022-12-18;89;1;39;0;1;False
2022-12-25;84;2;55;0;1;False
2023-01-01;78;2;63;0;2;False
2023-01-08;83;1;51;0;2;False
2023-01-15;84;2;53;0;1;False
2023-01-22;79;2;51;1;1;False
2023-01-29;77;1;55;0;1;False
