date;south africa;US school shootings;Society books;king's coronation;air travel;isPartial
2023-01-01;28;0;0;5;3;False
2023-01-02;29;0;0;8;4;False
2023-01-03;34;0;0;8;2;False
2023-01-04;38;1;0;7;4;False
2023-01-05;38;0;1;6;3;False
2023-01-06;39;0;1;7;3;False
2023-01-07;34;0;0;5;2;False
2023-01-08;35;0;1;6;4;False
2023-01-09;32;0;0;7;2;False
2023-01-10;33;0;0;6;3;False
2023-01-11;31;0;0;7;4;False
2023-01-12;34;0;1;6;3;False
2023-01-13;30;0;1;5;3;False
2023-01-14;28;0;0;3;2;False
2023-01-15;32;0;0;4;3;False
2023-01-16;40;0;0;5;3;False
2023-01-17;39;1;0;5;2;False
2023-01-18;35;0;1;4;3;False
2023-01-19;34;0;1;4;3;False
2023-01-20;34;0;0;4;2;False
2023-01-21;32;0;0;4;3;False
2023-01-22;35;0;0;14;3;False
2023-01-23;38;0;1;13;3;False
2023-01-24;33;0;1;7;2;False
2023-01-25;35;0;0;7;3;False
2023-01-26;33;0;0;6;3;False
2023-01-27;86;0;0;6;2;False
2023-01-28;33;0;1;3;3;False
2023-01-29;100;0;0;5;3;False
2023-01-30;34;0;0;8;4;False
2023-01-31;35;1;0;6;4;False
