date;antarctica;Young adult;Shere Hite;Mike Leigh;air travel;isPartial
2022-01-02;82;60;0;9;61;False
2022-01-09;86;21;0;7;67;False
2022-01-16;77;18;1;5;52;False
2022-01-23;79;20;0;3;58;False
2022-01-30;87;21;1;2;65;False
2022-02-06;79;17;0;4;65;False
2022-02-13;56;20;0;3;65;False
2022-02-20;55;19;0;6;67;False
2022-02-27;57;17;0;3;59;False
2022-03-06;83;19;1;7;62;False
2022-03-13;59;18;0;3;61;False
2022-03-20;74;18;1;4;60;False
2022-03-27;64;16;0;5;63;False
2022-04-03;63;14;1;4;58;False
2022-04-10;47;14;0;4;50;False
2022-04-17;48;19;1;3;56;False
2022-04-24;52;16;1;3;58;False
2022-05-01;48;20;0;4;59;False
2022-05-08;52;16;0;3;61;False
2022-05-15;66;18;1;3;63;False
2022-05-22;46;16;0;2;60;False
2022-05-29;39;16;0;4;61;False
2022-06-05;47;15;1;4;68;False
2022-06-12;52;14;0;3;60;False
2022-06-19;55;19;0;3;55;False
2022-06-26;47;17;0;1;60;False
2022-07-03;49;19;0;2;63;False
2022-07-10;54;17;0;3;65;False
2022-07-17;57;16;1;3;62;False
2022-07-24;53;16;0;4;61;False
2022-07-31;37;17;0;2;55;False
2022-08-07;45;28;0;3;54;False
2022-08-14;46;15;1;4;53;False
2022-08-21;60;16;0;4;46;False
2022-08-28;51;18;1;2;50;False
2022-09-04;56;16;0;4;54;False
2022-09-11;68;19;0;5;47;False
2022-09-18;56;12;0;4;45;False
2022-09-25;57;18;0;5;47;False
2022-10-02;88;18;0;5;45;False
2022-10-09;54;19;0;10;43;False
2022-10-16;58;17;0;4;39;False
2022-10-23;47;20;0;4;36;False
2022-10-30;61;19;0;4;36;False
2022-11-06;68;16;1;3;40;False
2022-11-13;66;19;0;1;34;False
2022-11-20;61;15;0;3;43;False
2022-11-27;85;16;2;4;41;False
2022-12-04;93;18;0;3;35;False
2022-12-11;100;32;1;3;36;False
2022-12-18;77;22;0;3;34;False
2022-12-25;89;13;0;4;45;False
2023-01-01;91;15;0;3;52;False
2023-01-08;82;20;0;3;48;False
2023-01-15;94;19;0;3;47;False
2023-01-22;92;24;1;2;43;False
2023-01-29;81;26;1;4;47;False
