date;Billie Piper;PlayStation 5;Musicals;Oxford United;air travel;isPartial
2023-01-01;4;13;8;12;4;False
2023-01-02;3;13;7;4;5;False
2023-01-03;2;11;6;3;3;False
2023-01-04;2;8;8;3;5;False
2023-01-05;2;9;5;3;4;False
2023-01-06;2;9;6;6;4;False
2023-01-07;2;11;8;6;3;False
2023-01-08;2;10;7;8;4;False
2023-01-09;2;8;6;100;3;False
2023-01-10;1;10;6;13;4;False
2023-01-11;2;7;6;6;5;False
2023-01-12;2;8;7;4;4;False
2023-01-13;1;8;6;4;3;False
2023-01-14;6;10;8;7;3;False
2023-01-15;2;10;6;4;3;False
2023-01-16;2;8;6;3;4;False
2023-01-17;1;6;6;4;3;False
2023-01-18;1;6;6;2;4;False
2023-01-19;1;6;7;4;4;False
2023-01-20;2;7;7;4;3;False
2023-01-21;2;10;7;12;3;False
2023-01-22;1;8;8;5;4;False
2023-01-23;1;5;7;4;4;False
2023-01-24;1;7;6;9;3;False
2023-01-25;1;7;6;5;4;False
2023-01-26;1;8;12;3;3;False
2023-01-27;1;9;7;2;2;False
2023-01-28;1;10;8;7;3;False
2023-01-29;1;8;10;2;3;False
2023-01-30;1;7;7;4;5;False
2023-01-31;1;9;6;5;4;False
