date;Retirement age;Paul Kelly;Royal Welsh College of Music and Drama;Brit awards;air travel;isPartial
2022-01-02;6;0;0;1;6;False
2022-01-09;6;1;0;1;6;False
2022-01-16;7;1;0;3;5;False
2022-01-23;6;1;0;3;6;False
2022-01-30;7;1;0;9;6;False
2022-02-06;6;1;0;100;6;False
2022-02-13;5;0;0;4;6;False
2022-02-20;5;1;0;2;6;False
2022-02-27;4;1;0;1;6;False
2022-03-06;5;1;0;1;6;False
2022-03-13;5;1;0;1;6;False
2022-03-20;5;1;0;1;6;False
2022-03-27;5;1;0;1;6;False
2022-04-03;5;1;0;1;6;False
2022-04-10;5;1;0;1;5;False
2022-04-17;5;1;0;0;5;False
2022-04-24;6;0;0;1;6;False
2022-05-01;6;1;0;1;6;False
2022-05-08;5;0;0;1;6;False
2022-05-15;5;1;0;1;6;False
2022-05-22;5;1;0;1;6;False
2022-05-29;4;1;0;1;6;False
2022-06-05;5;1;0;1;7;False
2022-06-12;8;1;0;1;6;False
2022-06-19;6;1;0;1;5;False
2022-06-26;6;1;0;1;6;False
2022-07-03;6;1;0;1;6;False
2022-07-10;6;1;0;0;6;False
2022-07-17;5;1;0;1;6;False
2022-07-24;6;1;0;0;6;False
2022-07-31;5;1;0;0;5;False
2022-08-07;5;1;0;1;5;False
2022-08-14;5;1;0;1;5;False
2022-08-21;5;0;0;1;4;False
2022-08-28;5;1;0;1;5;False
2022-09-04;6;1;0;1;5;False
2022-09-11;5;1;0;0;5;False
2022-09-18;5;1;0;0;4;False
2022-09-25;6;1;0;0;4;False
2022-10-02;8;1;0;1;4;False
2022-10-09;5;1;0;1;4;False
2022-10-16;5;0;0;1;4;False
2022-10-23;5;1;0;1;3;False
2022-10-30;5;1;0;1;3;False
2022-11-06;5;1;0;1;4;False
2022-11-13;5;0;0;1;3;False
2022-11-20;5;1;0;1;4;False
2022-11-27;8;1;0;1;4;False
2022-12-04;4;1;0;1;3;False
2022-12-11;4;0;0;0;3;False
2022-12-18;4;1;0;1;3;False
2022-12-25;4;1;0;1;4;False
2023-01-01;7;1;0;2;5;False
2023-01-08;9;1;0;8;5;False
2023-01-15;12;1;0;5;5;False
2023-01-22;15;0;0;4;4;False
2023-01-29;9;1;0;6;4;False
