date;Newcastle United;Women's FA Cup;Organ donation;Sailing;air travel;isPartial
2022-01-02;85;0;1;15;5;False
2022-01-09;73;0;1;14;5;False
2022-01-16;63;0;1;12;4;False
2022-01-23;61;1;1;12;4;False
2022-01-30;56;1;1;14;5;False
2022-02-06;52;0;1;14;5;False
2022-02-13;53;0;1;15;5;False
2022-02-20;42;1;1;14;5;False
2022-02-27;37;1;1;13;5;False
2022-03-06;38;0;1;14;5;False
2022-03-13;44;0;1;15;5;False
2022-03-20;17;1;1;15;5;False
2022-03-27;16;0;1;14;5;False
2022-04-03;41;0;0;16;4;False
2022-04-10;19;1;1;16;4;False
2022-04-17;58;1;0;16;4;False
2022-04-24;37;0;1;15;4;False
2022-05-01;24;0;1;18;5;False
2022-05-08;33;2;1;17;5;False
2022-05-15;50;3;1;17;5;False
2022-05-22;37;0;1;16;5;False
2022-05-29;29;0;0;18;5;False
2022-06-05;32;0;1;18;5;False
2022-06-12;35;0;1;18;5;False
2022-06-19;36;0;0;19;4;False
2022-06-26;42;0;0;17;5;False
2022-07-03;40;0;0;18;5;False
2022-07-10;44;0;0;19;5;False
2022-07-17;40;0;0;19;5;False
2022-07-24;59;0;1;20;5;False
2022-07-31;61;0;1;21;4;False
2022-08-07;56;0;1;20;4;False
2022-08-14;42;0;1;17;4;False
2022-08-21;86;0;0;19;4;False
2022-08-28;85;0;1;18;4;False
2022-09-04;23;0;0;15;4;False
2022-09-11;30;0;1;16;4;False
2022-09-18;18;0;1;15;4;False
2022-09-25;23;0;1;14;4;False
2022-10-02;29;0;1;13;3;False
2022-10-09;27;0;1;14;3;False
2022-10-16;91;0;1;13;3;False
2022-10-23;49;0;1;13;3;False
2022-10-30;26;0;1;11;3;False
2022-11-06;78;0;1;12;3;False
2022-11-13;21;0;1;11;3;False
2022-11-20;17;0;0;11;3;False
2022-11-27;17;1;1;11;3;False
2022-12-04;17;0;1;10;3;False
2022-12-11;21;0;1;9;3;False
2022-12-18;32;0;1;10;3;False
2022-12-25;68;0;1;11;3;False
2023-01-01;60;0;1;12;4;False
2023-01-08;53;1;1;12;4;False
2023-01-15;68;0;1;12;4;False
2023-01-22;67;1;1;11;3;False
2023-01-29;100;1;1;12;4;False
