date;Tesco;Swimming holidays;Nine Entertainment;international space station;air travel;isPartial
2022-01-02;66;0;0;0;0;False
2022-01-09;56;0;0;0;1;False
2022-01-16;55;0;0;0;0;False
2022-01-23;55;0;0;0;0;False
2022-01-30;58;0;0;0;1;False
2022-02-06;53;0;0;0;1;False
2022-02-13;56;0;0;0;1;False
2022-02-20;55;0;0;0;1;False
2022-02-27;55;0;0;0;0;False
2022-03-06;54;0;0;0;0;False
2022-03-13;55;0;0;0;0;False
2022-03-20;56;0;0;0;0;False
2022-03-27;58;0;0;0;0;False
2022-04-03;59;0;0;0;0;False
2022-04-10;75;0;0;0;0;False
2022-04-17;73;0;0;0;0;False
2022-04-24;53;0;0;0;0;False
2022-05-01;66;0;0;0;0;False
2022-05-08;55;0;0;0;0;False
2022-05-15;59;0;0;0;0;False
2022-05-22;60;0;0;0;0;False
2022-05-29;82;0;0;0;0;False
2022-06-05;56;0;0;0;1;False
2022-06-12;56;0;0;0;0;False
2022-06-19;56;0;0;0;0;False
2022-06-26;59;0;0;0;0;False
2022-07-03;55;0;0;0;0;False
2022-07-10;65;0;0;0;1;False
2022-07-17;61;0;0;0;0;False
2022-07-24;64;0;0;0;0;False
2022-07-31;62;0;0;0;0;False
2022-08-07;61;0;0;0;0;False
2022-08-14;60;0;0;0;0;False
2022-08-21;59;0;0;0;0;False
2022-08-28;61;0;0;0;0;False
2022-09-04;57;0;0;0;0;False
2022-09-11;60;0;0;0;0;False
2022-09-18;75;0;0;0;0;False
2022-09-25;60;0;0;0;0;False
2022-10-02;57;0;0;0;0;False
2022-10-09;59;0;0;0;0;False
2022-10-16;60;0;0;0;0;False
2022-10-23;63;0;0;0;0;False
2022-10-30;63;0;0;0;0;False
2022-11-06;60;0;0;0;0;False
2022-11-13;67;0;0;0;0;False
2022-11-20;58;0;0;0;0;False
2022-11-27;64;0;0;0;0;False
2022-12-04;63;0;0;0;0;False
2022-12-11;71;0;0;0;0;False
2022-12-18;100;0;0;0;0;False
2022-12-25;90;0;0;0;0;False
2023-01-01;72;0;0;0;0;False
2023-01-08;50;0;0;0;0;False
2023-01-15;49;0;0;0;0;False
2023-01-22;53;0;0;0;0;False
2023-01-29;53;0;0;0;0;False
