date;United Nations;hillsborough;Nasa;South Sudan;air travel;isPartial
2022-01-02;1;45;7;0;2;False
2022-01-09;2;12;6;0;2;False
2022-01-16;1;6;6;0;2;False
2022-01-23;1;5;5;0;2;False
2022-01-30;2;4;100;0;2;False
2022-02-06;2;3;21;0;2;False
2022-02-13;1;3;9;0;2;False
2022-02-20;4;3;8;0;2;False
2022-02-27;5;3;5;1;2;False
2022-03-06;2;3;5;0;2;False
2022-03-13;2;4;6;0;2;False
2022-03-20;2;5;5;0;2;False
2022-03-27;1;3;5;0;2;False
2022-04-03;2;3;4;0;2;False
2022-04-10;1;8;4;0;2;False
2022-04-17;1;5;4;0;2;False
2022-04-24;2;3;5;0;2;False
2022-05-01;1;4;5;0;2;False
2022-05-08;1;4;5;0;2;False
2022-05-15;1;3;6;0;2;False
2022-05-22;1;4;4;0;2;False
2022-05-29;1;5;3;1;2;False
2022-06-05;1;3;3;1;2;False
2022-06-12;1;3;4;0;2;False
2022-06-19;1;3;4;0;2;False
2022-06-26;1;3;3;0;2;False
2022-07-03;1;3;4;0;2;False
2022-07-10;1;3;13;0;2;False
2022-07-17;1;4;6;0;2;False
2022-07-24;1;4;4;0;2;False
2022-07-31;1;3;4;0;2;False
2022-08-07;1;3;4;0;2;False
2022-08-14;1;3;4;0;2;False
2022-08-21;1;3;6;0;2;False
2022-08-28;1;3;20;0;2;False
2022-09-04;1;4;5;0;2;False
2022-09-11;1;7;4;0;2;False
2022-09-18;2;4;4;0;2;False
2022-09-25;2;5;10;0;2;False
2022-10-02;1;3;5;0;1;False
2022-10-09;1;2;5;0;1;False
2022-10-16;1;3;4;0;1;False
2022-10-23;1;3;4;0;1;False
2022-10-30;1;3;4;0;1;False
2022-11-06;1;3;7;0;1;False
2022-11-13;1;3;12;0;1;False
2022-11-20;1;2;7;0;1;False
2022-11-27;1;3;5;0;1;False
2022-12-04;1;3;4;0;1;False
2022-12-11;1;3;5;1;1;False
2022-12-18;1;3;5;0;1;False
2022-12-25;1;3;4;0;1;False
2023-01-01;1;3;3;1;2;False
2023-01-08;1;3;4;1;2;False
2023-01-15;1;3;4;0;2;False
2023-01-22;1;3;4;0;1;False
2023-01-29;2;4;6;1;2;False
