date;Bill Gates;Interest rates;Philadelphia Eagles;Oleg Deripaska;air travel;isPartial
2022-01-02;7;15;1;0;6;False
2022-01-09;7;15;1;0;7;False
2022-01-16;8;18;1;0;5;False
2022-01-23;7;19;0;0;6;False
2022-01-30;6;34;1;0;7;False
2022-02-06;5;18;0;0;7;False
2022-02-13;6;17;1;0;7;False
2022-02-20;6;16;0;1;7;False
2022-02-27;6;18;0;1;6;False
2022-03-06;26;19;0;2;6;False
2022-03-13;5;31;1;3;6;False
2022-03-20;4;22;0;0;6;False
2022-03-27;5;19;1;0;7;False
2022-04-03;4;21;1;0;6;False
2022-04-10;4;25;1;0;5;False
2022-04-17;5;19;1;0;6;False
2022-04-24;8;21;1;0;6;False
2022-05-01;10;56;1;0;6;False
2022-05-08;6;24;0;0;6;False
2022-05-15;7;24;0;0;7;False
2022-05-22;7;22;0;0;6;False
2022-05-29;5;18;1;0;6;False
2022-06-05;4;23;0;0;7;False
2022-06-12;5;52;1;0;6;False
2022-06-19;4;26;0;0;6;False
2022-06-26;4;22;0;0;6;False
2022-07-03;6;22;1;0;6;False
2022-07-10;8;22;1;0;7;False
2022-07-17;5;25;0;0;6;False
2022-07-24;4;27;0;0;6;False
2022-07-31;3;71;0;0;6;False
2022-08-07;3;30;0;0;6;False
2022-08-14;4;27;0;0;5;False
2022-08-21;4;29;1;0;5;False
2022-08-28;4;26;1;0;5;False
2022-09-04;4;29;1;0;6;False
2022-09-11;5;27;2;0;5;False
2022-09-18;5;74;2;0;5;False
2022-09-25;5;96;1;0;5;False
2022-10-02;5;81;2;0;5;False
2022-10-09;4;62;2;0;4;False
2022-10-16;4;60;2;0;4;False
2022-10-23;5;50;1;0;4;False
2022-10-30;4;100;3;0;4;False
2022-11-06;5;55;1;0;4;False
2022-11-13;5;51;2;0;4;False
2022-11-20;4;29;1;0;4;False
2022-11-27;4;31;1;0;4;False
2022-12-04;4;26;1;0;4;False
2022-12-11;4;49;2;0;4;False
2022-12-18;3;26;2;0;4;False
2022-12-25;4;25;2;0;5;False
2023-01-01;4;36;2;0;5;False
2023-01-08;5;33;2;0;5;False
2023-01-15;5;34;1;0;5;False
2023-01-22;4;39;2;0;4;False
2023-01-29;11;71;5;0;5;False
